Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	yes	no	no	35	Kamaole	NMS	MB	DH		KKP	KKP190723		Kalama Park	2019-07-23	9:03	2	2	2	2	2					KKP190723	28.3	34.6	6.65	103.5	8.17	9.12	9.73	10.20	9.68	0.056				N	2	3	0	
yes	yes	yes	no	no	35	Kamaole	NMS	MB	DH		KCP	KCP190723		Cove park	2019-07-23	9:25	2	2	2	2	2					KCP190723	28.5	32.8	6.53	101.0	8.12	2.69	3.44	3.23	3.12	0.124				N	0	0	0	
yes	yes	yes	no	no	36	Kamaole	NMS	MB	SG		NKN	NKN190813		Kalepolepo North	2019-08-13	8:00	2	2	2	2	2					NKN190813	27.4	31.9	6.37	96.2	8.09	6.09	6.44	6.94	6.49	0.066				N	0	2	0	took 4th reading 6.44
yes	yes	yes	no	no	36	Kamaole	NMS	MB	DH		KWP	KWP190813		Waipuilani Park	2019-08-13	8:30	2	2	2	2	2					KWP190813	27.3	34.1	5.95	91.0	8.03	8.53	10.10	10.30	9.64	0.101				NA	0	2	0	
yes	yes	yes	no	no	36	Kamaole	NMS	MB	DH		KKS	KKS190813		Kihei South	2019-08-13	8:50	2	2	2	2	2					KKS190813	28.0	34.0	6.44	99.3	8.05	8.17	12.90	12.40	11.16	0.233				NA	6	5	0	took 4th reading 15.8
yes	yes	yes	no	no	36	Kamaole	NMS	MB	DH		KKP	KKP190813		Kalama Park	2019-08-13	9:10	2	2	2	2	2					KKP190813	28.4	35.1	6.68	104.5	8.13	7.13	8.79	6.57	7.50	0.154				N	0	0	0	
yes	yes	yes	no	no	36	Kamaole	NMS	MB	DH		KCP	KCP190813		Cove park	2019-08-13	9:30	2	2	2	2	2					KCP190813	28.3	34.2	6.68	102.7	8.12	6.59	5.35	6.27	6.07	0.106				N	4	4	0	
yes	yes	yes	no	no	36	Kamaole	NMS	MB	DH		NMP	NMP190813		Mai Poina Oe Iau	2019-08-13	9:55	2	2	2	2	2					   NMP190813	29.0	33.6	6.54	102.7	8.08	2.94	3.39	2.68	3.00	0.120				NA	0	0	0	
yes	yes	yes	no	no	37	Kamaole	NMS	HH	SG	MC	NKN	NKN190903		Kalepolepo North	2019-09-03	8:07	1	1	3	1	1					NKN190903	28.3			83.6	8.12	1.29	1.47	1.36	1.37	0.066				N	0	1	0	
yes	yes	yes	no	no	37	Kamaole	NMS	HH	SG	MC	KWP	KWP190903		Waipuilani Park	2019-09-03	8:28	1	1	3	1	1					KWP190903	26.3	32.4	5.65	84.3	8.05	12.60	13.80	13.50	13.30	0.047				NA	0	0	0	
yes	yes	yes	no	no	37	Kamaole	NMS	HH	SG	MC	KKS	KKS190903		Kihei South	2019-09-03	8:50	1	1	3	1	1					KKS190903	27.8	33.0	6.05	92.6	8.11	4.65	4.94	4.85	4.81	0.031				NA	1	5	0	
yes	yes	yes	no	no	37	Kamaole	NMS	HH	SG	MC	KKP	KKP190903		Kalama Park	2019-09-03	9:10	1	1	3	1	1					KKP190903	28.0	33.6	5.71	88.0	8.11	10.30	11.10	10.90	10.77	0.039				N	1	2	0	
yes	yes	yes	no	no	37	Kamaole	NMS	HH	SG	MC	KCP	KCP190903		Cove park	2019-09-03	9:30	1	1	3	1	1					KCP190903	28.8	33.4	6.16	95.9	8.13	2.51	3.22	3.50	3.08	0.166				N	0	0	0	
yes	yes	yes	no	no	37	Kamaole	NMS	HH	SG	MC	NMP	NMP190903		Mai Poina Oe Iau	2019-09-03	10:04	1	1	3	1	1					   NMP190903	29.2	34.0	6.10	96.2	8.11	3.90	3.62	4.33	3.95	0.091				NA	0	3	0	
yes	yes	yes	no	no	38	Kamaole	NMS	HH	MC	RC	NKN	NKN190924		Kalepolepo North	2019-09-24	8:10	2	2	4	2	2					NKN190924	28.1	33.5	6.24	96.3	8.13	2.53	3.49	3.03	3.02	0.159				N	0	1	0	
yes	yes	yes	no	no	38	Kamaole	NMS	HH	MC	RC	KWP	KWP190924		Waipuilani Park	2019-09-24	8:42	2	2	4	2	2					KWP190924	27.4	33.8	5.82	89.3	8.00	10.80	12.90	12.90	12.20	0.099				NA	0	2	1	
yes	yes	yes	no	no	38	Kamaole	NMS	HH	MC	RC	KKS	KKS190924		Kihei South	2019-09-24	9:05	2	2	4	2	2					KKS190924	28.3	34.0	6.14	95.5	8.07	13.70	14.50	13.90	14.03	0.030				NA	0	8	0	
yes	yes	yes	no	no	38	Kamaole	NMS	HH	MC	RC	KKP	KKP190924		Kalama Park	2019-09-24	9:26	2	2	4	2	2					KKP190924	28.8	35.0	6.44	101.4	8.15	6.21	6.79	7.52	6.84	0.096				N	10	4	0	
yes	yes	yes	no	no	38	Kamaole	NMS	HH	MC	RC	KCP	KCP190924		Cove park	2019-09-24	9:45	2	2	4	2	2					KCP190924	28.8	32.4	6.70	104.0	8.14	2.71	3.38	3.90	3.33	0.179				N	2	0	0	
yes	yes	yes	no	no	38	Kamaole	NMS	HH	MC	RC	NMP	NMP190924		Mai Poina Oe Iau	2019-09-24	10:13	2	2	4	2	2					   NMP190924	28.9	34.1	6.48	101.8	8.11	3.34	3.21	3.44	3.33	0.035				NA	0	1	0	
yes	yes	yes	no	no	39	Kamaole	NMS	DH	MC	RC	NKN	NKN191015		Kalepolepo North	2019-10-15	7:50	1	1	3	1	1					NKN191015	27.3	33.4	6.20	94.1	8.12	6.28	6.41	6.50	6.40	0.017				N	0	1	0	heavy trades at all sites
yes	yes	yes	no	no	39	Kamaole	NMS	DH	MC	RC	KWP	KWP191015		Waipuilani Park	2019-10-15	8:15	1	1	3	1	1					KWP191015	26.6	32.8	6.14	92.0	8.12	21.60	22.80	22.10	22.17	0.027				NA	0	0	0	
yes	yes	yes	no	no	39	Kamaole	NMS	DH	MC	RC	KKS	KKS191015		Kihei South	2019-10-15	8:32	1	1	3	1	1					KKS191015	27.3	33.8	6.09	93.0	8.13	9.33	11.00	11.20	10.51	0.098				NA	0	4	0	
yes	yes	yes	no	no	39	Kamaole	NMS	DH	MC	RC	KKP	KKP191015		Kalama Park	2019-10-15	8:53	1	1	3	1	1					KKP191015	27.7	34.6	6.33	97.6	8.12	12.50	12.90	13.40	12.93	0.035				N	18	6	0	
yes	yes	yes	no	no	39	Kamaole	NMS	DH	MC	RC	KCP	KCP191015		Cove park	2019-10-15	9:08	1	1	3	1	1					KCP191015	28.0	32.6	6.01	92.0	8.10	6.71	7.93	9.07	7.90	0.149				N	6	0	0	
yes	yes	yes	no	no	39	Kamaole	NMS	DH	MC	RC	NMP	NMP191015		Mai Poina Oe Iau	2019-10-15	9:33	1	1	3	1	1					   NMP191015	28.2	33.4	6.24	96.3	8.12	4.15	8.34	5.98	6.16	0.341				NA	0	2	0	took 4th reading-9.46
yes	yes	yes	no	no	40	Kamaole	NMS	DH	MC	RC	NKN	NKN191105		Kalepolepo North	2019-11-05	7:53	2	2	4	2	2					NKN191105	27.9	34.4	5.49	85.0	8.09	3.63	4.09	5.05	4.26	0.170	0			N	0	0	0	
yes	yes	yes	no	no	40	Kamaole	NMS	DH	MC	RC	KWP	KWP191105		Waipuilani Park	2019-11-05	8:23	2	2	4	2	2					KWP191105	26.0	33.5	6.48	96.8	8.06	44.60	47.20	47.60	46.47	0.035	0			NA	0	2	0	
yes	yes	yes	no	no	40	Kamaole	NMS	DH	MC	RC	KKS	KKS191105		Kihei South	2019-11-05	8:40	2	2	4	2	2					KKS191105	27.6	33.5	6.29	96.2	8.10	9.82	11.20	10.90	10.64	0.068	0			NA	3	0	0	
yes	yes	yes	no	no	40	Kamaole	NMS	DH	MC	RC	KKP	KKP191105		Kalama Park	2019-11-05	8:56	2	2	4	2	2					KKP191105	27.5	34.3	6.39	97.9	8.08	15.60	15.70	14.80	15.37	0.032	0			N	0	6	0	
yes	yes	yes	no	no	40	Kamaole	NMS	DH	MC	RC	KCP	KCP191105		Cove park	2019-11-05	9:10	2	2	4	2	2					KCP191105	27.9	33.0	6.32	96.8	8.13	2.50	2.70	2.31	2.50	0.078	0			N	0	0	0	
yes	yes	yes	no	no	40	Kamaole	NMS	DH	MC	RC	NMP	NMP191105		Mai Poina Oe Iau	2019-11-05	9:32	2	2	4	2	2					   NMP191105	28.2	34.3	6.44	100.1	8.12	1.90	1.74	2.05	1.90	0.082	0			NA	0	0	0	took 4th reading-2.05 replaced 2.63
yes	yes	yes	no	no	41	Kamaole	NMS	DH	MC	SG	NKN	NKN191119		Kalepolepo North	2019-11-19	8:10	1	1	3	1	1					NKN191119	27.2	34.2	5.55	84.8	8.08	1.31	1.09	1.38	1.26	0.120	0			N	0	2	0	
yes	yes	yes	no	no	41	Kamaole	NMS	DH	MC	SG	KWP	KWP191119		Waipuilani Park	2019-11-19	8:35	1	1	3	1	1					KWP191119	25.8	33.5	6.12	90.9	8.07	25.20	23.70	23.20	24.03	0.043	41			NA	0	0	0	
yes	yes	yes	no	no	41	Kamaole	NMS	DH	MC	SG	KKS	KKS191119		Kihei South	2019-11-19	8:57	1	1	3	1	1					KKS191119	26.0	33.5	6.38	95.4	8.09	10.50	12.70	12.30	11.83	0.099	10			NA	3	5	0	1 dog in the water
yes	yes	yes	no	no	41	Kamaole	NMS	DH	MC	SG	KKP	KKP191119		Kalama Park	2019-11-19	9:20	1	1	3	1	1					KKP191119	25.1	33.8	6.29	94.1	8.09	10.40	10.40	10.50	10.43	0.006	10			N	9	1	0	surfers and SUP peeps in water
yes	yes	yes	no	no	41	Kamaole	NMS	DH	MC	SG	KCP	KCP191119		Cove park	2019-11-19	9:40	1	1	3	1	1					KCP191119	27.5	34.4	5.86	90.0	8.10	3.96	4.14	3.31	3.80	0.115	195			N	3	3	0	
yes	yes	yes	no	no	41	Kamaole	NMS	DH	MC	SG	NMP	NMP191119		Mai Poina Oe Iau	2019-11-19	10:05	1	1	3	1	1					   NMP191119	27.7	34.2	6.42	99.1	8.11	6.07	5.41	6.99	6.16	0.129	0			NA	1	2	0	took 4th reading and used
yes	yes	yes	no	no	42	Kamaole	NMS	RC	MC	SG	NKN	NKN191210		Kalepolepo North	2019-12-10	8:07	2	2	4	2	2					NKN191210	26.1	33.5	6.30	94.1	8.14	2.36	1.59	1.13	1.69	0.367	0			N	0	2	0	
yes	yes	yes	no	no	42	Kamaole	NMS	RC	MC	SG	KWP	KWP191210		Waipuilani Park	2019-12-10	8:30	2	2	4	2	2					KWP191210	25.0	33.5	6.34	92.9	8.08	13.70	12.50	18.00	14.73	0.196	10			NA	0	2	0	took 4th reading16.1?? 
yes	yes	yes	no	no	42	Kamaole	NMS	RC	MC	SG	KKS	KKS191210		Kihei South	2019-12-10	8:55	2	2	4	2	2					KKS191210	26.0	33.6	6.26	93.0	8.16	5.25	4.80	4.71	4.92	0.059	86			NA	0	3	0	
yes	yes	yes	no	no	42	Kamaole	NMS	RC	MC	SG	KKP	KKP191210		Kalama Park	2019-12-10	9:15	2	2	4	2	2					KKP191210	25.9	34.3	6.82	101.6	8.17	6.53	7.45	6.95	6.98	0.066	175			N	2	3	0	
yes	yes	yes	no	no	42	Kamaole	NMS	RC	MC	SG	KCP	KCP191210		Cove park	2019-12-10	9:30	2	2	4	2	2					KCP191210	26.3	32.3	6.32	93.6	8.10	3.20	5.17	4.63	4.33	0.235	10			N	1	0	0	
yes	yes	yes	no	no	42	Kamaole	NMS	RC	MC	SG	NMP	NMP191210		Mai Poina Oe Iau	2019-12-10	9:50	2	2	4	2	2					   NMP191210	25.9	33.2	6.51	98.0	8.13	2.00	3.10	2.17	2.42	0.244	0			NA	5	5	0	took 4th reading and used
yes	yes	yes	no	no	43	Kamaole	NMS	RC	MC	SG	NKN	NKN200114		Kalepolepo North	2020-01-14	7:57	1	1	3	1	1					NKN200114	24.8	33.8	6.67	97.5	8.16	8.62	8.67	8.32	8.54	0.022	0			N	0	0	0	
yes	yes	yes	no	no	43	Kamaole	NMS	RC	MC	SG	KWP	KWP200114		Waipuilani Park	2020-01-14	8:16	1	1	3	1	1					KWP200114	24.2	32.2	6.70	95.8	8.13	27.80	26.90	27.60	27.43	0.017	259			NA	0	0	0	
yes	yes	yes	no	no	43	Kamaole	NMS	RC	MC	SG	KKS	KKS200114		Kihei South	2020-01-14	8:36	1	1	3	1	1					KKS200114	24.0	31.5	6.64	94.7	8.13	6.96	7.93	7.79	7.56	0.069	0			NA	0	5	1	
yes	yes	yes	no	no	43	Kamaole	NMS	RC	MC	SG	KKP	KKP200114		Kalama Park	2020-01-14	8:59	1	1	3	1	1					KKP200114	24.5	33.5	6.29	91.1	8.13	4.03	3.99	4.50	4.17	0.068	20			N	0	10	0	
yes	yes	yes	no	no	43	Kamaole	NMS	RC	MC	SG	KCP	KCP200114		Cove park	2020-01-14	9:08	1	1	3	1	1					KCP200114	25.0	34.1	6.20	91.2	8.15	1.87	1.70	2.06	1.88	0.096	0			N	0	3	1	
yes	yes	yes	no	no	43	Kamaole	NMS	RC	MC	SG	NMP	NMP200114		Mai Poina Oe Iau	2020-01-14	9:29	1	1	3	1	1					   NMP200114	24.2	33.7	6.35	93.3	8.13	5.01	7.19	8.50	6.90	0.256	0			NA	2	2	0	took 4th.5th.6th,7th reading..did not use
yes	yes	yes	no	no	44	Kamaole	NMS	RC	MC	SG	NKN	NKN200204		Kalepolepo North	2020-02-04	7:59	2	2	4	2	2					NKN200204	24.9	32.8	6.40	93.2	8.18	1.18	1.82	1.33	1.44	0.232	0			N	0	2	0	
yes	yes	yes	no	no	44	Kamaole	NMS	RC	MC	SG	KWP	KWP200204		Waipuilani Park	2020-02-04	8:18	2	2	4	2	2					KWP200204	24.6	32.7	6.32	91.3	8.20	9.21	9.84	9.05	9.37	0.045	0			NA	0	2	0	
yes	yes	yes	no	no	44	Kamaole	NMS	RC	MC	SG	KKS	KKS200204		Kihei South	2020-02-04	8:34	2	2	4	2	2					KKS200204	25.3	34.3	5.93	87.6	8.16	3.35	3.21	4.12	3.56	0.138	0			NA	0	2	0	took 4th reading and used 4.12
yes	yes	yes	no	no	44	Kamaole	NMS	RC	MC	SG	KKP	KKP200204		Kalama Park	2020-02-04	9:00	2	2	4	2	2					KKP200204	25.2	34.7	6.38	94.2	8.15	4.90	4.29	5.04	4.74	0.084	0			N	1	2	0	
yes	yes	yes	no	no	44	Kamaole	NMS	RC	MC	SG	KCP	KCP200204		Cove park	2020-02-04	9:07	2	2	4	2	2					KCP200204	25.4	33.2	6.10	89.9	8.15	2.25	2.29	2.53	2.36	0.064	0			N	0	5	0	
yes	yes	yes	no	no	44	Kamaole	NMS	RC	MC	SG	NMP	NMP200204		Mai Poina Oe Iau	2020-02-04	9:32	2	2	4	2	2					   NMP200204	25.6	33.1	6.41	94.4	8.12	2.26	2.59	2.42	2.42	0.068	0			NA	0	4	0	
yes	yes	yes	no	no	45	Kamaole	NMS	RC	MC	SG	NKN	NKN200225		Kalepolepo North	2020-02-25	8:01	1	1	3	1	1					NKN200225	24.3	33.4	6.43	92.4	8.19	1.83	1.91	2.06	1.93	0.060	0			N	0	6	0	
yes	yes	yes	no	no	45	Kamaole	NMS	RC	MC	SG	KWP	KWP200225		Waipuilani Park	2020-02-25	8:23	1	1	3	1	1					KWP200225	22.8	32.0	6.55	90.9	8.10	22.60	24.60	25.10	24.10	0.055	0			NA	0	0	0	
yes	yes	yes	no	no	45	Kamaole	NMS	RC	MC	SG	KKS	KKS200225		Kihei South	2020-02-25	8:40	1	1	3	1	1					KKS200225	24.6	33.2	5.75	82.9	8.15	7.89	7.34	7.84	7.69	0.040	0			NA	0	1	0	
yes	yes	yes	no	no	45	Kamaole	NMS	RC	MC	SG	KKP	KKP200225		Kalama Park	2020-02-25	8:58	1	1	3	1	1					KKP200225	24.2	34.1	6.65	95.7	8.15	5.56	5.39	5.75	5.57	0.032	0			N	0	5	1	
yes	yes	yes	no	no	45	Kamaole	NMS	RC	MC	SG	KCP	KCP200225		Cove park	2020-02-25	9:12	1	1	3	1	1					KCP200225	24.9	31.2	6.24	89.2	8.11	5.99	4.91	5.76	5.55	0.102	359			N	1	0	0	dog on a surfboard & in water
yes	yes	yes	no	no	45	Kamaole	NMS	RC	MC	SG	NMP	NMP200225		Mai Poina Oe Iau	2020-02-25	9:35	1	1	3	1	1					   NMP200225	24.9	33.1	6.31	91.4	8.13	3.84	2.85	2.38	3.02	0.247	0			NA	0	8	0	
yes	yes	yes	no	no	46	Kamaole	NMS	TS	JS		NKN	NKN200505		Kalepolepo North	2020-05-05	8:08	2	2	4	2	2					NKN200505	24.4	31.4	6.51	92.8	8.15	10.60	9.83	10.70	10.38	0.046	0			N	0	0	0	nice and calm everywhere, flat, no wind
yes	yes	yes	no	no	46	Kamaole	NMS	TS	JS		KWP	KWP200505		Waipuilani Park	2020-05-05	8:35	2	2	4	2	2					KWP200505	24.9	31.1	6.31	90.6	8.07	7.02	7.43	7.04	7.16	0.032	0			NA	0	2	0	
yes	yes	yes	no	no	46	Kamaole	NMS	TS	JS		KKS	KKS200505		Kihei South	2020-05-05	8:58	2	2	4	2	2					KKS200505	25.9	29.4	6.49	94.3	8.08	2.76	2.77	2.83	2.79	0.014	110			NA	0	0	0	
yes	yes	yes	no	no	46	Kamaole	NMS	TS	JS		KKP	KKP200505		Kalama Park	2020-05-05	9:22	2	2	4	2	2					KKP200505	26.3	34.0	6.95	104.4	8.15	9.57	10.20	9.30	9.69	0.048	0			N	0	0	0	
yes	yes	yes	no	no	46	Kamaole	NMS	TS	JS		KCP	KCP200505		Cove park	2020-05-05	9:42	2	2	4	2	2					KCP200505	26.7	29.2	6.87	101.1	8.10	6.79	7.51	6.39	6.90	0.082	30			N	0	0	0	
yes	yes	yes	no	no	46	Kamaole	NMS	TS	JS		NMP	NMP200505		Mai Poina Oe Iau	2020-05-05	10:08	2	2	4	2	2					   NMP200505	26.0	32.0	6.81	100.5	8.09	10.40	9.24	9.67	9.77	0.060	0			NA	0	4	0	
yes	yes	yes	no	no	47	Kamaole	NMS	JS			NKN	NKN200609		Kalepolepo North	2020-06-09	8:05	1	1	3	1	1					NKN200609	26.4	33.4	5.94	88.6	8.1	2.87	2.59	2.89	2.78	0.060	0			N	0	2	0	KKP - Beach fisherman reeling in fish.  Noticed blood trail from fish after sample taken
yes	yes	yes	no	no	47	Kamaole	NMS	JS			KWP	KWP200609		Waipuilani Park	2020-06-09	8:45	1	1	3	1	1					KWP200609	26.7	31.6	5.97	88.7	8.02	20.20	21.20	21.10	20.83	0.026	0			NA	0	0	0	NMP - Construction - Hotel being built about 100' south of sample site
yes	yes	yes	no	no	47	Kamaole	NMS	JS			KKS	KKS200609		Kihei South	2020-06-09	9:10	1	1	3	1	1					KKS200609	27.9	32.9	6.12	93.5	8.08	11.00	11.90	11.40	11.43	0.039	10			NA	1	3	0	
yes	yes	yes	no	no	47	Kamaole	NMS	JS			KKP	KKP200609		Kalama Park	2020-06-09	9:35	1	1	3	1	1					KKP200609	27.5	34.2	6.47	99.0	8.11	8.44	8.85	8.53	8.61	0.025	0			N	1	3	0	
yes	yes	yes	no	no	47	Kamaole	NMS	JS			KCP	KCP200609		Cove park	2020-06-09	9:55	1	1	3	1	1					KCP200609	27.6	30.0	6.86	102.6	8.09	20.40	19.00	23.20	20.87	0.102	0			N	7	0	0	
yes	yes	yes	no	no	47	Kamaole	NMS	JS			NMP	NMP200609		Mai Poina Oe Iau	2020-06-09	10:25	1	1	3	1	1					   NMP200609	28.1	32.9	6.58	100.9	8.10	16.40	16.00	17.90	16.77	0.060	41			NA	1	2	0	
yes	yes	yes	no	no	48	Kamaole	NMS	JS			NKN	NKN200630		Kalepolepo North	2020-06-30	8:20	2	2	4	2	2					NKN200630	26.5	31.9	6.18	91.9	8.10	5.83	5.72	5.73	5.76	0.011	0			N	0	1	0	KKS - Water much clearer 20' from shore
yes	yes	yes	no	no	48	Kamaole	NMS	JS			KWP	KWP200630		Waipuilani Park	2020-06-30	8:45	2	2	4	2	2					KWP200630	26.7	33.8	6.45	97.3	8.06	20.30	21.00	20.40	20.57	0.018	10			NA	0	2	0	KKP - 2 surfers coming to shore next to sampling
yes	yes	yes	no	no	48	Kamaole	NMS	JS			KKS	KKS200630		Kihei South	2020-06-30	9:25	2	2	4	2	2					KKS200630	27.5	34.1	6.49	99.5	8.10	13.40	14.10	13.70	13.73	0.026	0			NA	0	1	0	All sites - no wind.
yes	yes	yes	no	no	48	Kamaole	NMS	JS			KKP	KKP200630		Kalama Park	2020-06-30	9:45	2	2	4	2	2					KKP200630	27.5	34.2	6.76	103.6	8.17	9.37	11.30	10.60	10.42	0.094	0			N	3	1	0	
yes	yes	yes	no	no	48	Kamaole	NMS	JS			KCP	KCP200630		Cove park	2020-06-30	10:10	2	2	4	2	2					KCP200630	28.0	32.5	6.91	105.7	8.14	9.82	10.10	9.95	9.96	0.014	31			N	20	5	0	
yes	yes	yes	no	no	48	Kamaole	NMS	JS			NMP	NMP200630		Mai Poina Oe Iau	2020-06-30	10:40	2	2	4	2	2					   NMP200630	27.6	33.9	6.68	102.6	8.27	10.40	9.80	9.84	10.01	0.034	0			NA	0	3	0	
yes	yes	yes	no	no	49	Kamaole	NMS	MC	RC	SG	NKN	NKN200721		Kalepolepo North	2020-07-21	8:05	1	1	3	1	1					NKN200721	26.6	32.0	5.81	86.5	8.09	1.75	1.96	1.94	1.88	0.062	0			N	0	0	0	
yes	yes	no	no	no	49	Kamaole	NMS	MC	RC	SG	KWP	KWP200721		Waipuilani Park	2020-07-21	8:30	1	1	3	1	1					KWP200721	25.8	32.1	6.07	89.3	8.07	15.40	15.80	17.00	16.07	0.052	0			NA	0	2 /1 dog	0	
yes	yes	no	no	no	49	Kamaole	NMS	MC	RC	SG	KKS	KKS200721		Kihei South	2020-07-21	8:48	1	1	3	1	1					KKS200721	26.6	32.5	5.81	87.0	8.09	5.93	7.11	6.25	6.43	0.095	10			NA	0	0	0	
yes	yes	no	no	no	49	Kamaole	NMS	MC	RC	SG	KKP	KKP200721		Kalama Park	2020-07-21	9:09	1	1	3	1	1					KKP200721	26.7	34.3	6.28	95.0	8.10	6.67	7.31	6.89	6.96	0.047	0			N	0	0	0	
yes	yes	yes	no	no	49	Kamaole	NMS	MC	RC	SG	KCP	KCP200721		Cove park	2020-07-21	9:25	1	1	3	1	1					KCP200721	27.0	31.0	6.37	95.2	8.09	5.23	6.52	6.96	6.24	0.144	10			N	20	0	0	lots of fishing rods in the water but did not see any fisherpersons
yes	yes	no	no	no	49	Kamaole	NMS	MC	RC	SG	NMP	NMP200721		Mai Poina Oe Iau	2020-07-21	9:54	1	1	3	1	1					   NMP200721	27.6	31.7	6.52	98.8	8.08	6.13	7.04	6.74	6.64	0.070	0			NA	2	1/1 dog	0	2 peeps in water were snorkeling
yes	yes	yes	no	no	50	Kamaole	DHS	MC	RC	SG	NKN	NKN200811		Kalepolepo North	2020-08-11	8:04	2	2	4	2	2					NKN200811	26.5	33.3	5.65	84.6	8.10	1.55	1.82	2.03	1.80	0.134				N	0	0	0	
yes	yes	yes	yes	no	50	Kamaole	DHS	MC	RC	SG	KWP	KWP200811		Waipuilani Park	2020-08-11	8:27	2	2	4	2	2					KWP200811	25.7	32.1	6.40	94.0	8.04	17.90	17.70	17.20	17.60	0.020				NA	1	0	0	Sup entering water
yes	yes	yes	yes	no	50	Kamaole	DHS	MC	RC	SG	KKS	KKS200811		Kihei South	2020-08-11	8:47	2	2	4	2	2					KKS200811	26.7	32.6	6.26	93.7	8.10	10.10	9.58	9.29	9.66	0.042				NA	0	0	0	
yes	yes	yes	no	no	50	Kamaole	DHS	MC	RC	SG	KKP	KKP200811		Kalama Park	2020-08-11	9:07	2	2	4	2	2					KKP200811	27.2	34.1	6.15	93.9	8.10	3.68	4.08	4.43	4.06	0.092				N	0	0	0	
yes	yes	yes	yes	no	50	Kamaole	DHS	MC	RC	SG	KCP	KCP200811		Cove park	2020-08-11	9:23	2	2	4	2	2					KCP200811	27.7	33.0	6.34	96.9	8.10	5.49	4.94	6.44	5.62	0.135				N	0	3	0	lots of fishing rods in the water but did not see any fisherpersons but only 1 fisherman
yes	yes	yes	no	no	51	Kamaole	DHS	MC	RC	HH	NKN	NKN200901		Kalepolepo North	2020-09-01	7:54	1	2	3	1	1					NKN200901	26.7	33.4	5.39	81.4	8.05	1.05	1.14	1.02	1.07	0.058				N	0	0	0	
yes	yes	yes	no	no	51	Kamaole	DHS	MC	RC	HH	KWP	KWP200901		Waipuilani Park	2020-09-01	8:20	1	2	3	1	1					KWP200901	26.8	32.6	5.59	84.2	8.03	5.11	5.19	5.93	5.41	0.084				NA	2	1	0	
yes	yes	yes	no	no	51	Kamaole	DHS	MC	RC	HH	KKS	KKS200901		Kihei South	2020-09-01	8:33	1	2	3	1	1					KKS200901	27.3	33.7	5.52	84.2	8.01	4.02	4.47	4.94	4.48	0.103				NA	0	1	0	tide was very high during sampling. (note about original comment: low tide was at 9:03 AM that day.  Could this comment have been referring to surf being high?)
yes	yes	yes	no	no	51	Kamaole	DHS	MC	RC	HH	KKP	KKP200901		Kalama Park	2020-09-01	8:50	1	2	3	1	1					KKP200901	27.1	33.9	6.42	97.8	8.08	8.39	8.42	8.00	8.27	0.028				N	1	0	0	
