Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
yes	yes	yes	no	no	51	Kamaole	DHS	MC	RC	HH	KCP	KCP200901		Cove park	2020-09-01	9:04	1	2	3	1	1					KCP200901	27.3	31.2	4.74	71.4	7.97	12.20	14.80	12.50	13.17	0.108				N	0	0	0	took 4th reading of 12.2: 2nd DO reading was the same
yes	yes	yes	no	no	52	Kamaole	DHS	MC	RC	SG	NKN	NKN200922		Kalepolepo North	2020-09-22	7:56	2	2	4	2	2					NKN200922	26.8	34.6	6.01	91.2	8.10	3.91	3.26	2.90	3.36	0.153				N	0	0	0	
yes	yes	yes	no	no	52	Kamaole	DHS	MC	RC	SG	KWP	KWP200922		Waipuilani Park	2020-09-22	8:13	2	2	4	2	2					KWP200922	25.4	33.5	6.20	92.8	8.00	21.10	22.90	22.50	22.17	0.043				NA	1	2	0	
yes	yes	yes	no	no	52	Kamaole	DHS	MC	RC	SG	KKS	KKS200922		Kihei South	2020-09-22	8:30	2	2	4	2	2					KKS200922	26.5	33.6	6.61	99.2	8.11	9.54	9.24	10.10	9.63	0.045				NA	0	0	0	
yes	yes	yes	no	no	52	Kamaole	DHS	MC	RC	SG	KKP	KKP200922		Kalama Park	2020-09-22	8:49	2	2	4	2	2					KKP200922	26.7	34.3	6.79	102.9	8.12	18.50	17.20	17.20	17.63	0.043				N	2	0	0	
yes	yes	yes	no	no	52	Kamaole	DHS	MC	RC	SG	KCP	KCP200922		Cove park	2020-09-22	9:04	2	2	4	2	2					KCP200922	27.5	34.4	6.38	97.5	8.10	3.51	4.11	3.49	3.70	0.095				N	0	0	0	bait bucket floating 10' from shore
yes	yes	yes	no	no	53	Kamaole	DHS	MC	RC	SG	NKN	NKN201013		Kalepolepo North	2020-10-13	7:50	1	1	3	1	1					NKN201013	27.2	33.4	5.82	88.5	8.10	2.36	2.69	3.01	2.69	0.121				N	0	14	0	
yes	yes	yes	no	no	53	Kamaole	DHS	MC	RC	SG	KWP	KWP201013		Waipuilani Park	2020-10-13	8:07	1	1	3	1	1					KWP201013	25.9	31.9	6.18	91.2	8.05	14.40	15.70	15.70	15.27	0.049				NA	0	0	0	
yes	yes	yes	yes	no	53	Kamaole	DHS	MC	RC	SG	KKS	KKS201013		Kihei South	2020-10-13	8:25	1	1	3	1	1					KKS201013	27.2	34.0	5.33	81.3	8.07	4.43	4.51	5.10	4.68	0.078				NA	0	0	0	
yes	yes	yes	no	no	53	Kamaole	DHS	MC	RC	SG	KKP	KKP201013		Kalama Park	2020-10-13	8:45	1	1	3	1	1					KKP201013	26.9	34.1	6.29	95.5	8.10	7.13	7.43	8.14	7.57	0.069				N	0	0	0	
yes	yes	yes	yes	no	53	Kamaole	DHS	MC	RC	SG	KCP	KCP201013		Cove park	2020-10-13	9:02	1	1	3	1	1					KCP201013	27.8	32.0	6.18	94.0	8.08	4.38	5.59	5.98	5.32	0.157				N	0	0	0	dog in water
yes	yes	yes	no	no	54	Kamaole	DHS	MC	RC	HH	NKN	NKN201103		Kalepolepo North	2020-11-03	7:47	2	2	4	2	2					NKN201103	27.0	34.9	5.82	88.7	8.11	1.88	2.63	2.34	2.28	0.166				N	2	5	0	
yes	yes	yes	no	no	54	Kamaole	DHS	MC	RC	HH	KWP	KWP201103		Waipuilani Park	2020-11-03	8:07	2	2	4	2	2					KWP201103	26.4	33.1	5.96	89.1	8.04	21.60	24.20	21.10	22.30	0.075				NA	0	1	0	
yes	yes	yes	no	no	54	Kamaole	DHS	MC	RC	HH	KKS	KKS201103		Kihei South	2020-11-03	8:18	2	2	4	2	2					KKS201103	27.4	34.3	5.19	90.2	8.12	3.60	3.32	3.46	3.46	0.040				NA	1	6	0	
yes	yes	yes	no	no	54	Kamaole	DHS	MC	RC	HH	KKP	KKP201103		Kalama Park	2020-11-03	8:36	2	2	4	2	2					KKP201103	27.5	34.4	5.98	91.6	8.08	2.85	3.29	3.40	3.18	0.092				N	0	6	5	
yes	yes	yes	no	no	54	Kamaole	DHS	MC	RC	HH	KCP	KCP201103		Cove park	2020-11-03	8:52	2	2	4	2	2					KCP201103	27.2	34.0	5.79	88.1	8.09	2.76	2.79	3.99	3.18	0.221				N	0	4	0	
yes	yes	yes	no	no	55	Kamaole	DHS	MC	RC	HH	NKN	NKN201117		Kalepolepo North	2020-11-17	7:58	1	1	3	2	1					NKN201117	25.7	35.4	6.22	92.8	8.11	1.79	2.20	2.13	2.04	0.108				N	0	1	0	
yes	yes	yes	no	no	55	Kamaole	DHS	MC	RC	HH	KWP	KWP201117		Waipuilani Park	2020-11-17	8:12	1	1	3	2	1					KWP201117	24.6	33.1	6.49	94.1	8.02	23.00	23.80	23.70	23.50	0.019				NA	0	3	0	nasty water lots of debris
yes	yes	yes	no	no	55	Kamaole	DHS	MC	RC	HH	KKS	KKS201117		Kihei South	2020-11-17	8:33	1	1	3	2	1					KKS201117	25.6	34.4	6.38	94.6	8.10	2.99	2.92	2.94	2.95	0.012				NA	3	0	0	
yes	yes	yes	no	no	55	Kamaole	DHS	MC	RC	HH	KKP	KKP201117		Kalama Park	2020-11-17	8:48	1	1	3	2	1					KKP201117	26.3	35.0	6.56	98.8	8.13	4.04	4.32	4.72	4.36	0.078				N	4	4	0	4 spearfisherman stirring up water
yes	yes	yes	no	no	55	Kamaole	DHS	MC	RC	HH	KCP	KCP201117		Cove park	2020-11-17	9:07	1	1	3	2	1					KCP201117	26.5	34.4	6.26	94.2	8.11	2.34	3.16	3.03	2.84	0.155				N	0	3	0	
yes	yes	yes	no	no	56	Kamaole	DHS	MC	SG	HH	NKN	NKN201208		Kalepolepo North	2020-12-08	7:50	2	2	4	2	2					NKN201208	25.5	34.3	5.76	85.9	8.11	1.13	1.16	1.31	1.20	0.080				N	0	0	0	
yes	yes	yes	no	no	56	Kamaole	DHS	MC	SG	HH	KWP	KWP201208		Waipuilani Park	2020-12-08	8:15	2	2	4	2	2					KWP201208	24.3	32.3	5.95	88.1	8.08	18.40	17.60	18.20	18.07	0.023				NA	0	2	0	
yes	yes	yes	no	no	56	Kamaole	DHS	MC	SG	HH	KKS	KKS201208		Kihei South	2020-12-08	8:36	2	2	4	2	2					KKS201208	25.5	34.4	5.98	88.6	8.10	5.50	5.19	5.84	5.51	0.059				NA	1	2	0	
yes	yes	yes	no	no	56	Kamaole	DHS	MC	SG	HH	KKP	KKP201208		Kalama Park	2020-12-08	8:54	2	2	4	2	2					KKP201208	25.5	34.5	6.30	93.2	8.09	5.47	5.33	5.88	5.56	0.051				N	0	1	0	
yes	yes	yes	no	no	56	Kamaole	DHS	MC	SG	HH	KCP	KCP201208		Cove park	2020-12-08	9:10	2	2	4	2	2					KCP201208	26.2	34.5	5.94	89.3	8.12	3.61	3.28	3.18	3.36	0.067				N	1	0	0	
yes	yes	yes	no	no	57	Kamaole	DHS	MC	SG	RC	NKN	NKN210105		Kalepolepo North	2021-01-05	7:58	1	1	3	2	1					NKN210105	25.5	34.9	5.57	82.3	8.08	0.63	0.71	0.81	0.72	0.126				N	0	0	0	
yes	yes	yes	no	no	57	Kamaole	DHS	MC	SG	RC	KWP	KWP210105		Waipuilani Park	2021-01-05	8:12	1	1	3	2	1					KWP210105	24.1	32.9	6.30	89.7	8.12	12.20	12.70	12.80	12.57	0.026				NA	0	1	0	
yes	yes	yes	no	no	57	Kamaole	DHS	MC	SG	RC	KKS	KKS210105		Kihei South	2021-01-05	8:30	1	1	3	2	1					KKS210105	24.8	34.3	6.22	90.3	8.10	3.20	3.37	3.18	3.25	0.032				NA	0	7	0	
yes	yes	yes	no	no	57	Kamaole	DHS	MC	SG	RC	KKP	KKP210105		Kalama Park	2021-01-05	8:45	1	1	3	2	1					KKP210105	25.0	34.8	6.42	94.0	8.14	6.81	6.94	6.63	6.79	0.023				N	0	5	0	
yes	yes	yes	no	no	57	Kamaole	DHS	MC	SG	RC	KCP	KCP210105		Cove park	2021-01-05	8:57	1	1	3	2	1					KCP210105	25.8	34.6	6.01	89.0	8.11	0.94	0.69	0.93	0.85	0.166				N	0	2	0	
yes	yes	yes	no	no	58	Kamaole	DHS	MC	SG	HH	NKN	NKN210126		Kalepolepo North	2021-01-26	7:57	2	2	4	2	2					NKN210126	24.5	33.7	6.74	97.8	8.16	6.30	6.20	6.51	6.34	0.025				N	0	4	0	
yes	yes	yes	no	no	58	Kamaole	DHS	MC	SG	HH	KWP	KWP210126		Waipuilani Park	2021-01-26	8:19	2	2	4	2	2					KWP210126	24.3	33.5	6.45	92.9	8.06	12.00	11.50	12.50	12.00	0.042				NA	0	1	0	brown water out to ~1/2 mi
yes	yes	yes	no	no	58	Kamaole	DHS	MC	SG	HH	KKS	KKS210126		Kihei South	2021-01-26	8:36	2	2	4	2	2					KKS210126	24.5	34.1	6.09	88.5	8.06	6.56	6.62	6.76	6.65	0.015				NA	0	1	0	
yes	yes	yes	no	no	58	Kamaole	DHS	MC	SG	HH	KKP	KKP210126		Kalama Park	2021-01-26	8:55	2	2	4	2	2					KKP210126	24.7	34.9	6.61	96.8	8.10	6.82	6.14	5.70	6.22	0.091				N	3	3	0	
yes	yes	yes	no	no	59	Kamaole	DHS	MC	SG	HH	NKN	NKN210216		Kalepolepo North	2021-02-16	7:55	1	1	3	1	1					NKN210216	24.9	35.2	6.48	95.5	8.09	4.25	4.20	4.68	4.38	0.060				N	0	0	0	high surf today
yes	yes	yes	no	no	59	Kamaole	DHS	MC	SG	HH	KWP	KWP210216		Waipuilani Park	2021-02-16	8:20	1	1	3	1	1					KWP210216	25.3	35.4	6.50	96.3	8.09	15.40	16.20	16.90	16.17	0.046				NA	0	1	0	"
yes	yes	yes	no	no	59	Kamaole	DHS	MC	SG	HH	KKS	KKS210216		Kihei South	2021-02-16	8:39	1	1	3	1	1					KKS210216	25.2	34.9	6.50	96.2	8.09	5.85	5.97	6.17	6.00	0.027				NA	0	0	0	"
yes	yes	yes	no	no	59	Kamaole	DHS	MC	SG	HH	KKP	KKP210216		Kalama Park	2021-02-16	9:07	1	1	3	1	1					KKP210216	25.3	35.5	6.62	98.4	8.12	11.40	11.30	11.50	11.40	0.009				N	2	2	0	"
yes	yes	yes	no	no	60	Kamaole	DHS	MC	SG	HH	NKN	NKN210309		Kalepolepo North	2021-03-09	8:02	2	2	4	2	2					NKN210309	24.0	33.5	6.33	90.7	8.16	1.06	1.33	1.38	1.26	0.137				N	0	1	0	
yes	yes	yes	no	no	60	Kamaole	DHS	MC	SG	HH	KWP	KWP210309		Waipuilani Park	2021-03-09	8:23	2	2	4	2	2					KWP210309	23.7	32.3	5.93	83.9	8.08	12.30	10.70	9.12	10.71	0.149				NA	0	3	0	
yes	yes	yes	no	no	60	Kamaole	DHS	MC	SG	HH	KKS	KKS210309		Kihei South	2021-03-09	8:40	2	2	4	2	2					KKS210309	24.4	33.8	5.83	84.2	8.13	6.10	5.81	4.87	5.59	0.115				NA	5	10	0	
yes	yes	yes	no	no	60	Kamaole	DHS	MC	SG	HH	KKP	KKP210309		Kalama Park	2021-03-09	8:57	2	2	4	2	2					KKP210309	24.5	34.4	6.47	94.1	8.13	7.03	6.12	6.53	6.56	0.069				N	0	2	0	
yes	yes	yes	no	no	61	Kamaole	DHS	MC	SG	RC	NKN	NKN210330		Kalepolepo North	2021-03-30	7:57	1	1	3	1	1					NKN210330	24.7	33.5	6.60	95.9	8.12	10.50	11.40	11.00	10.97	0.041				N	0	1	0	took 4th reading on turbidity
yes	yes	yes	no	no	61	Kamaole	DHS	MC	SG	RC	KWP	KWP210330		Waipuilani Park	2021-03-30	8:15	1	1	3	1	1					KWP210330	24.7	34.4	6.58	96.3	8.07	19.70	19.50	19.30	19.50	0.010				NA	0	1	0	
yes	yes	yes	no	no	61	Kamaole	DHS	MC	SG	RC	KKS	KKS210330		Kihei South	2021-03-30	8:32	1	1	3	1	1					KKS210330	25.3	33.8	6.29	94.1	8.07	19.00	22.60	23.70	21.77	0.113				NA	1	15	0	
yes	yes	yes	no	no	61	Kamaole	DHS	MC	SG	RC	KKP	KKP210330		Kalama Park	2021-03-30	8:50	1	1	3	1	1					KKP210330	25.1	35.2	6.67	98.7	8.14	4.63	4.41	4.60	4.55	0.026				N	3	1	1	
yes	yes	yes	no	no	62	Kamaole	DHS	MC	SG	RC	NKN	NKN210420		Kalepolepo North	2021-04-20	7:55	2	2	4	2	2					NKN210420	25.5	33.7	5.80	85.7	8.11	2.36	2.53	2.48	2.46	0.036				N	0	0	0	took 4th reading on turbidity
yes	yes	yes	no	no	62	Kamaole	DHS	MC	SG	RC	KWP	KWP210420		Waipuilani Park	2021-04-20	8:15	2	2	4	2	2					KWP210420	26.0	32.8	5.64	83.6	8.11	7.89	6.81	7.42	7.37	0.073				NA	0	3	0	
yes	yes	yes	no	no	62	Kamaole	DHS	MC	SG	RC	KKS	KKS210420		Kihei South	2021-04-20	8:35	2	2	4	2	2					KKS210420	26.2	31.8	6.12	90.6	8.12	4.49	4.71	4.31	4.50	0.044				NA	4	8	0	
yes	yes	yes	no	no	62	Kamaole	DHS	MC	SG	RC	KKP	KKP210420		Kalama Park	2021-04-20	8:50	2	2	4	2	2					KKP210420	26.2	34.8	6.25	93.9	8.13	5.23	5.96	5.65	5.61	0.065				N	4	0	0	 plus 1 dog in the water
yes	yes	yes	no	no	63	Kamaole	DHS	MC	SG	HH	NKN	NKN210511		Kalepolepo North	2021-05-11	8:01	1	1	3	1	1					NKN210511	25.3	33.1	6.07	88.9	8.09	1.79	2.49	2.12	2.13	0.164				N	0	10	0	
yes	yes	yes	no	no	63	Kamaole	DHS	MC	SG	HH	KWP	KWP210511		Waipuilani Park	2021-05-11	8:13	1	1	3	1	1					KWP210511	25.1	31.1	6.20	89.6	8.06	8.69	9.31	9.33	9.11	0.040				NA	0	2	4	
yes	yes	yes	no	no	63	Kamaole	DHS	MC	SG	HH	KKS	KKS210511		Kihei South	2021-05-11	8:30	1	1	3	1	1					KKS210511	25.9	32.9	5.97	88.1	8.09	4.24	3.95	4.41	4.20	0.055				NA	0	4	0	
yes	yes	yes	no	no	63	Kamaole	DHS	MC	SG	HH	KKP	KKP210511		Kalama Park	2021-05-11	8:47	1	1	3	1	1					KKP210511	25.9	34.9	6.61	98.8	8.11	6.52	6.16	6.68	6.45	0.041				N	1	6	0	
yes	yes	yes	no	no	64	Kamaole	DHS	MC	SG	HH	NKN	NKN210601		Kalepolepo North	2021-06-01	8:01	2	2	4	2	2					NKN210601	26.2	33.4	5.99	89.1	8.09	3.74	3.54	4.10	3.79	0.075				N	0	4	0	Turbidity verification- low post 3rd read 6.51 cleaned with kimwipe after black cloth (Mitch verified- tried 3 times)
yes	yes	yes	no	no	64	Kamaole	DHS	MC	SG	HH	KWP	KWP210601		Waipuilani Park	2021-06-01	8:21	2	2	4	2	2					KWP210601	27.0	33.2	5.41	81.5	8.03	6.64	6.25	6.69	6.53	0.037				N	0	0	0	
yes	yes	yes	no	no	64	Kamaole	DHS	MC	SG	HH	KKS	KKS210601		Kihei South	2021-06-01	8:34	2	2	4	2	2					KKS210601	27.5	32.2	5.97	90.1	8.08	3.57	4.07	3.69	3.78	0.069				N	0	0	0	
yes	yes	yes	no	no	64	Kamaole	DHS	MC	SG	HH	KKP	KKP210601		Kalama Park	2021-06-01	9:02	2	2	4	2	2					KKP210601	26.8	34.8	6.62	100.4	8.16	3.46	4.25	4.22	3.98	0.113				N	2	5	0	
yes	yes	yes	no	no	65	Kamaole	DHS	MC	SG	HH	NKN	NKN210622		Kalepolepo North	2021-06-22	8:01	1	1	3	1	1					NKN210622	26.1	33.0	5.87	87.0	8.11	2.04	3.19	2.41	2.55	0.231				N	0	11	0	Blank high but tried all procedures. 8:07-NKN 8:09.
yes	yes	yes	no	no	65	Kamaole	DHS	MC	SG	HH	KWP	KWP210622		Waipuilani Park	2021-06-22	8:20	1	1	3	1	1					KWP210622	25.4	31.9	5.63	82.2	8.02	2.73	2.98	3.25	2.99	0.087				N	0	1	2	8:28-8:30 KWP
yes	yes	yes	no	no	65	Kamaole	DHS	MC	SG	HH	KKS	KKS210622		Kihei South	2021-06-22	8:36	1	1	3	1	1					KKS210622	26.3	31.9	6.19	91.5	8.08	2.96	3.36	2.99	3.10	0.072				N	3	5	0	8:44-8:47 - KKS
yes	yes	yes	no	no	65	Kamaole	DHS	MC	SG	HH	KKP	KKP210622		Kalama Park	2021-06-22	8:57	1	1	3	1	1					KKP210622	26.4	34.9	6.81	102.5	8.14	4.57	5.62	4.90	5.03	0.107				N	0	10	0	9:03  9:06 - KKP
yes	yes	yes	no	no	66	Kamaole	DHS	MC	SG	RC	NKN	NKN210713		Kalepolepo North	2021-07-13	7:55	2	1	4	2	2					NKN210713	26.7	33.7	5.99	84.3	8.09	0.94	0.90	0.91	0.92	0.023				N	0	4	0	
yes	yes	yes	no	no	66	Kamaole	DHS	MC	SG	RC	KWP	KWP210713		Waipuilani Park	2021-07-13	8:13	2	1	4	2	2					KWP210713	26.6	32.7	5.77	84.9	8.07	6.94	8.06	8.44	7.81	0.100				N	0	2	2	
yes	yes	yes	no	no	66	Kamaole	DHS	MC	SG	RC	KKS	KKS210713		Kihei South	2021-07-13	8:32	2	1	4	2	2					KKS210713	26.6	34.6	5.20	78.5	8.09	5.21	6.65	6.50	6.12	0.129				N	0	3	0	
yes	yes	yes	no	no	66	Kamaole	DHS	MC	SG	RC	KKP	KKP210713		Kalama Park	2021-07-13	8:50	2	1	4	2	2					KKP210713	27.0	35.2	6.67	100.9	8.15	4.93	5.13	5.37	5.14	0.043				N	1	10	0	
yes	yes	yes	no	no	67	Kamaole	NMS	SG	RC		NKN	NKN210803		Kalepolepo North	2021-08-03	8:00	1	1	3	1	3					NKN210803	26.5	33.1	6.79	83.7	8.09	1.82	3.05	2.67	2.51	0.251				N	0	3	0	1 8:05 - 8:08
yes	yes	yes	no	no	67	Kamaole	NMS	SG	RC		KWP	KWP210803		Waipuilani Park	2021-08-03	8:24	1	1	3	1	3					KWP210803	25.9	32.8	5.61	83.0	8.06	4.40	5.41	5.49	5.10	0.119				N	0	1	0	2 8:28 - 8:35
yes	yes	yes	no	no	67	Kamaole	NMS	SG	RC		KKS	KKS210803		Kihei South	2021-08-03	8:44	1	1	3	1	3					KKS210803	26.9	34.0	5.54	83.8	8.10	3.75	3.95	4.23	3.98	0.061				N	0	2	0	3 8:49 - 8:52
yes	yes	yes	no	no	67	Kamaole	NMS	SG	RC		KKP	KKP210803		Kalama Park	2021-08-03	9:02	1	1	3	1	3					KKP210803	26.7	34.8	6.41	97.2	8.12	5.50	5.97	6.47	5.98	0.081				N	3	7	0	4 9:06 - 9:10
yes	yes	yes	no	no	68	Kamaole	NMS	RC	MC	HH	NKN	NKN210824		Kalepolepo North	2021-08-24	7:52	2	3	4	2	2					NKN210824	26.2	33.1	6.11	91.1	8.12	4.48	4.44	4.37	4.43	0.013				N	0	7	0	7:56 - 7:58   time the probes were in  
yes	yes	yes	no	no	68	Kamaole	NMS	RC	MC	HH	KWP	KWP210824		Waipuilani Park	2021-08-24	8:08	2	3	4	2	2					KWP210824	26.0	33.6	6.18	92.0	8.05	19.50	21.90	21.90	21.10	0.066				N	0	3	0	8:13 - 8:17         "
yes	yes	yes	no	no	68	Kamaole	NMS	RC	MC	HH	KKS	KKS210824		Kihei South	2021-08-24	8:25	2	3	4	2	2					KKS210824	26.8	33.8	5.62	84.9	8.04	13.20	12.90	13.60	13.23	0.027				N	0	5	0	8:31 - 8:39         "
yes	yes	yes	no	no	68	Kamaole	NMS	RC	MC	HH	KKP	KKP210824		Kalama Park	2021-08-24	8:42	2	3	4	2	2					KKP210824	26.5	34.8	6.26	94.7	8.10	7.43	7.22	7.27	7.31	0.015				N	0	5	0	8:47 - 8:49          "
yes	yes	yes	no	no	69	Kamaole	NMS	RC	MC	HH	NKN	NKN210914		Kalepolepo North	2021-09-14	8:01	1	3	3	1	3					NKN210914	25.4	33.5	6.23	91.9	8.12	2.36	2.49	2.72	2.52	0.072				N	0	10	0	
yes	yes	yes	no	no	69	Kamaole	NMS	RC	MC	HH	KWP	KWP210914		Waipuilani Park	2021-09-14	8:18	1	3	3	1	3					KWP210914	24.7	33.0	5.86	85.2	8.05	17.70	18.20	18.60	18.17	0.025				N	0	3	0	broke a syringe tip
yes	yes	yes	yes	no	69	Kamaole	NMS	RC	MC	HH	KKS	KKS210914		Kihei South	2021-09-14	8:37	1	3	3	1	3					KKS210914	25.4	34.0	5.99	88.8	8.07	16.90	18.00	18.00	17.63	0.036				N	0	2	0	triplicate sampling at KKS
yes	yes	yes	no	no	69	Kamaole	NMS	RC	MC	HH	KKP	KKP210914		Kalama Park	2021-09-14	9:06	1	3	3	1	3					KKP210914	26.1	35.3	6.33	95.6	8.11	8.38	8.77	9.51	8.89	0.065				N	3	4	0	
yes	yes	yes	no	no	70	Kamaole	NMS	MB	MC	HH	NKN	NKN211005		Kalepolepo North	2021-10-05	7:48	2	2	4	2	2					NKN211005	25.5	34.1	5.71	84.5	8.05	1.82	1.92	1.89	1.88	0.027				N	2	5	0	2 swimmers w/in 15' of sampling; took 2nd DO 84.2%
yes	yes	yes	no	no	70	Kamaole	NMS	MB	MC	HH	KWP	KWP211005		Waipuilani Park	2021-10-05	8:08	2	2	4	2	2					KWP211005	25.0	34.3	5.71	83.9	8.05	5.91	4.88	5.70	5.50	0.099				N	0	3	0	
yes	yes	yes	no	no	70	Kamaole	NMS	MB	MC	HH	KKS	KKS211005		Kihei South	2021-10-05	8:25	2	2	4	2	2					KKS211005	25.9	33.9	5.22	77.8	8.09	4.87	4.40	4.58	4.62	0.051				N	0	2	2	took 2nd,3rd DO both 78.0%
yes	yes	yes	no	no	70	Kamaole	NMS	MB	MC	HH	KKP	KKP211005		Kalama Park	2021-10-05	8:45	2	2	4	2	2					KKP211005	26.2	35.4	6.38	96.3	8.13	7.19	6.76	6.99	6.98	0.031				N	0	3	0	
yes	yes	yes	no	no	71	Kamaole	NMS	HH	SG	RC	NKN	NKN211026		Kalepolepo North	2021-10-26	7:52	1	1	4	1	3					NKN211026	25.7	35.4	5.62	84.0	8.14	1.10	1.19	1.12	1.14	0.042				N	14	2	0	Using pH # 4 because #3 calibration was off. Very calm conditions. 07:58 probes in water 08:05 read.
yes	yes	yes	no	no	71	Kamaole	NMS	HH	SG	RC	KWP	KWP211026		Waipuilani Park	2021-10-26	8:11	1	1	4	1	3					KWP211026	23.9	34.1	5.91	85.2	8.04	12.10	12.40	12.50	12.33	0.017				N	0	0	0	08:17 probes in water 08:21 read.
yes	yes	yes	no	no	71	Kamaole	NMS	HH	SG	RC	KKS	KKS211026		Kihei South	2021-10-26	8:26	1	1	4	1	3					KKS211026	25.0	34.0	5.40	79.3	8.11	5.88	6.67	6.88	6.48	0.081				N	1	4	1	08:30 probes in water 08:34 read.
yes	yes	yes	no	no	71	Kamaole	NMS	HH	SG	RC	KKP	KKP211026		Kalama Park	2021-10-26	8:42	1	1	4	1	3					KKP211026	24.7	34.5	6.09	89.3	8.16	4.55	4.77	4.48	4.60	0.033				N	0	1	0	08:45 probes in water 08:49 read. Turbidity meter turns off when I press READ button during pre-sampling. Volnuteers said it worked fine in the field. It completely stopped working. Tried changing batteries, checked for corrosion, etc. - no luck. 
yes	yes	yes	no	no	72	Kamaole	NMS	HH	SG	RC	NKN	NKN211116		Kalepolepo North	2021-11-16	8:00	2	2	4	2	2					NKN211116	25.9	33.7	5.88	87.2	8.11	1.72	1.80	2.31	1.94	0.165				N	0	30	0	4 Kihei Canoe boats up on shore, ~30 people at fishpond standing on sand beach within 100 ft, boats and people. 8:06 probes in H2O, 8:09 start reading.
yes	yes	yes	no	no	72	Kamaole	NMS	HH	SG	RC	KWP	KWP211116		Waipuilani Park	2021-11-16	8:18	2	2	4	2	2					KWP211116	25.4	32.7	5.99	88.1	8.05	12.70	12.20	12.70	12.53	0.023				N	0	3	0	8:25 in - 8:29 start reading probes
yes	yes	yes	no	no	72	Kamaole	NMS	HH	SG	RC	KKS	KKS211116		Kihei South	2021-11-16	8:39	2	2	4	2	2					KKS211116	26.3	33.5	5.77	86.1	8.06	5.00	5.15	4.42	4.86	0.079				N	0	1	0	8:41 in - 8:43 read
yes	yes	yes	no	no	72	Kamaole	NMS	HH	SG	RC	KKP	KKP211116		Kalama Park	2021-11-16	8:55	2	2	4	2	2					KKP211116	26.0	34.6	6.49	97.4	8.12	5.30	4.72	4.47	4.83	0.088				N	0	1	0	9:00 in - 9:03 read
yes	yes	yes	no	no	73	Kamaole	NMS	HH	SG	RC	NKN	NKN211214		Kalepolepo North	2021-12-14	8:03	1	1	4	1	3					NKN211214	24.6	32.2	6.26	89.9	8.11	47.70	44.60	45.70	46.00	0.034				N	2	1	0	low tide; 8:10 probe in - 8:12 probe read
yes	yes	yes	no	no	73	Kamaole	NMS	HH	SG	RC	KWP	KWP211214		Waipuilani Park	2021-12-14	8:22	1	1	4	1	3					KWP211214	24.4	33.3	5.92	85.4	8.03	40.30	41.50	43.60	41.80	0.040				N	0	2	0	8:24 probe in - 8:27 probe read
yes	yes	yes	no	no	73	Kamaole	NMS	HH	SG	RC	KKS	KKS211214		Kihei South	2021-12-14	8:38	1	1	4	1	3					KKS211214	24.9	30.1	5.67	81.0	8.00	6.39	6.70	6.66	6.58	0.026				N	0	0	0	8:40 probe in - 8:43 probe read
yes	yes	yes	no	no	73	Kamaole	NMS	HH	SG	RC	KKP	KKP211214		Kalama Park	2021-12-14	8:51	1	1	4	1	3					KKP211214	24.9	35.0	5.37	87.9	8.14	4.69	4.79	4.86	4.78	0.018				N	0	0	0	8:50 probe in - 8:54 probe read