		RCB031717T	Hach 2100	#	03/17/17	12:00											
Session #	Team	Turb_Sample_ID	TurbInst	TurbMeterNum	Turb Sec Chk Date	Turb Sec Chk Time	Turb Std (L)	Turb Std (M)	Turb Std (H)	Turb Zero Chk (NTU)	Turb Pre (L)	Turb Pre (M)	Turb Pre (H)	Turb Post Zero	Turb Post (L)	Turb Post (M)	Turb Post (H)
24	SR2R	RCB031717T	Hach 2100Q	2	8/4/17	10:48 AM	6.60	60.0	567	0.09	6.48	59	562	0.05	6.59	59.2	561
28	SR2R		Hach 2100Q	1	10/3/17	8:00 AM	5.49	57.0	625	0.05	5.57	57.2	627	0.05	5.45	57.3	626
28	Polanui		Hach 2100Q	1	10/4/17	8:00 AM	5.49	57.0	625	0.06	5.53	57.2	626	0.04	5.51	57.4	624
28	Olowalu		Hach 2100Q	1	10/5/17	7:00 AM	5.49	57.0	625	0.05	5.46	57.2	625	0.04	5.49	57.3	624
28	NR2R		Hach 2100Q	1	10/6/17	7:45 AM	5.49	57.0	625	0.05	5.47	57.2	626	0.03	5.50	57.3	625
29	SR2R		Hach 2100Q	3	10/24/17	8:15 AM	5.92	54.3	568	0.07	5.85	54.2	568	0.06	5.91	54.2	569
29	Polanui		Hach 2100Q	3	10/25/17	8:15 AM	5.92	54.3	568	0.06	5.90	54.2	569	0.06	5.92	54.2	569
29	Olowalu		Hach 2100Q	3	10/26/17	6:45 AM	5.92	54.3	568	0.08	5.89	53.9	569	0.06	5.89	54.2	569
29	NR2R		Hach 2100Q	3	10/27/17	7:45 AM	5.92	54.3	568	0.08	5.94	54.2	569	0.07	5.91	54.5	569