Copied to main database by Kim 	Checked by Dana	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00										RCB031717	deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb 3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
		Example:		26	R2RS	LLHS	CM	TF	MS	RCB	RCB170821	2020	Canoe Beach	2017-08-21	9:22:00	1	1	4	2	3	1	7	2		RCB170821	27.0	33.1	6.92	104.4	8.18	5.78	5.86	6.03	Calculated	Calculated		1	0		1	20		
yes	yes	no	no	28	Olowalu	LLHS	RN	MG	LO	OPM	OPM171005	2073	Martin Hale	2017-10-05	7:10	1	1	4	2	3	15	1		trades	OPM171005	26.0	34.7	5.8	87	8.10	3.05	2.57	2.60	2.74	0.098		0	4		0	0	0	
yes	yes	no	no	28	Olowalu	LLHS	RN	MG	LO	OCO	OCO171005	2028	Camp Olowalu	2017-10-05	7:35	1	1	4	2	3	15	1		trades	OCO171005	26.0	34.6	6.19	92.6	8.07	6.71	6.81	7.00	6.84	0.022		1	4		0	5	0	
yes	yes	no	no	28	Olowalu	LLHS	RN	MG	LO	OMM	OMM171005	2029	Mile Marker 14	2017-10-05	7:52	1	1	4	2	3	15	1		trades	OMM171005	25.7	34.5	5.99	89.1	8.02	7.95	7.79	7.83	7.86	0.011		1	2		0	0	0	sample location possibly off by 50'
yes	yes	no	no	28	Olowalu	LLHS	RN	MG	LO	OUB	OUB171005	2032	Ukumehame	2017-10-05	8:13	1	1	4	2	3	15	1		trades	OUB171005	25.7	34.6	6.61	98.4	8.12	10.50	10.60	10.10	10.40	0.025		2	2		0	0	0	
yes	yes	no	no	28	Olowalu	LLHS	RN	MG	LO	OPB	OPB171005	2033	Papalaua Beach	2017-10-05	8:25	1	1	4	2	3	15	1		trades	OPB171005	25.9	34.6	6.85	102.2	8.15	7.56	8.04	8.11	7.90	0.038		2	2		0	0	0	
yes	yes	no	no	28	Olowalu	LLHS	RN	MG	LO	OPP	OPP171005	2034	Papalaua Pali	2017-10-05	8:38	1	1	4	2	3	15	1		trades	OPP171005	26.3	34.2	6.71	100.6	8.13	3.64	3.48	3.13	3.42	0.076		2	3		0	1	0	
yes	yes	no	no	29	Olowalu	LLHS	GB	RN		OPM	OPM171026	2073	Martin Hale	2017-10-26	7:01	2	3	3	1	2	6	7		trades	OPM171026	26.0	34.7	5.78	86.6	7.96	6.06	6.52	6.32	6.30	0.037		1	1		0	0	0	heavy rain 3-4 days ago
yes	yes	no	no	29	Olowalu	LLHS	GB	RN		OCO	OCO171026	2028	Camp Olowalu	2017-10-26	7:31	2	3	3	1	2	6	7		trades	OCO171026	26.7	34.5	6.25	94.7	8.01	4.72	4.81	4.73	4.75	0.010		1	0		0	12	0	heavy rain 3-4 days ago
yes	yes	no	no	29	Olowalu	LLHS	GB	RN		OMM	OMM171026	2029	Mile Marker 14	2017-10-26	7:51	2	3	3	1	2	6	7		trades	OMM171026	26.8	34.5	5.45	82.7	7.96	5.43	5.34	4.99	5.25	0.044		2	0		0	0	0	heavy rain 3-4 days ago
yes	yes	no	no	29	Olowalu	LLHS	GB	RN		OUB	OUB171026	2032	Ukumehame	2017-10-26	8:14	2	3	3	1	2	6	7		trades	OUB171026	26.8	34.8	6.37	96.9	8.06	10.50	9.99	10.80	10.43	0.039		1	1		0	0	0	heavy rain 3-4 days ago
yes	yes	no	no	29	Olowalu	LLHS	GB	RN		OPB	OPB171026	2033	Papalaua Beach	2017-10-26	8:40	2	3	3	1	2	6	7		trades	OPB171026	26.9	34.7	6.47	98.5	8.05	20.00	21.60	21.50	21.03	0.043		2	1		0	0	0	heavy rain 3-4 days ago
yes	yes	no	no	29	Olowalu	LLHS	GB	RN		OPP	OPP171026	2034	Papalaua Pali	2017-10-26	9:05	2	3	3	1	2	6	7		trades	OPP171026	27.0	34.8	6.67	101.8	8.07	4.89	4.96	5.10	4.98	0.021		2	1		0	0	3	heavy rain 3-4 days ago
	yes	no	no	30	Olowalu	LLHS	GB	MG	RN	OPM	OPM171116	2073	Martin Hale	2017-11-16	7:11	1	1	4	2	3	28	2	1	trades	OPM171116	23.8	34.8	5.99	86.6	8.10	3.64	3.22	3.61				0	3		0	0	0	spilled all KCL at OPM
	yes	no	no	30	Olowalu	LLHS	GB	MG	RN	OCO	OCO171116	2028	Camp Olowalu	2017-11-16	7:35	1	1	4	2	3	28	2	1	trades	OCO171116	23.8	35.1	6.33	91.5	8.12	2.15	2.24	2.28				0	3		0	0	0	
	yes	no	no	30	Olowalu	LLHS	GB	MG	RN	OMM	OMM171116	2029	Mile Marker 14	2017-11-16	7:50	1	1	4	2	3	28	2	1	trades	OMM171116	24.0	35.0	5.83	84.5	8.07	3.02	2.29	2.52				1	3		0	0	0	resolved OMM exact location issue
	yes	no	no	30	Olowalu	LLHS	GB	MG	RN	OUB	OUB171116	2032	Ukumehame	2017-11-16	8:10	1	1	4	2	3	28	2	1	trades	OUB171116	23.5	35.0	6.73	96.9	8.15	5.61	5.61	5.71				2	4		0	0	0	
	yes	no	no	30	Olowalu	LLHS	GB	MG	RN	OPB	OPB171116	2033	Papalaua Beach	2017-11-16	8:27	1	1	4	2	3	28	2	1	trades	OPB171116	24.2	34.9	7.03	102.2	8.17	5.63	5.55	5.81				2	3		0	0	2	
	yes	no	no	30	Olowalu	LLHS	GB	MG	RN	OPP	OPP171116	2034	Papalaua Pali	2017-11-16	8:45	1	1	4	2	3	28	2	1	trades	OPP171116	25.0	34.7	6.75	99.4	8.14	1.53	1.52	1.86				2	2		0	0	2	
	yes	no	no	31	Olowalu	LLHS	GB	LO	RN	OPM	OPM171207	2073	Martin Hale	2017-12-07	7:08	2	3	3	1	2	20	1	0	trades	OPM171207	23.3	34.8	6.27	89.5	8.09	6.48	6.56	6.95				1	1		0	0	0	
	yes	no	no	31	Olowalu	LLHS	GB	LO	RN	OCO	OCO171207	2028	Camp Olowalu	2017-12-07	7:30	2	3	3	1	2	20	1	0	trades	OCO171207	23.7	34.9	6.38	91.6	8.13	3.59	3.59	3.52				1	0		0	5	0	
	yes	no	no	31	Olowalu	LLHS	GB	LO	RN	OMM	OMM171207	2029	Mile Marker 14	2017-12-07	7:47	2	3	3	1	2	20	1	0	trades	OMM171207	24.2	35.0	6.07	87.9	8.11	3.25	3.39	3.32				1	0		0	12	1	
	yes	no	no	31	Olowalu	LLHS	GB	LO	RN	OUB	OUB171207	2032	Ukumehame	2017-12-07	8:04	2	3	3	1	2	20	1	0	trades	OUB171207	24.6	34.9	6.55	95.5	8.14	5.75	5.63	5.97				3	0		0	0	0	
	yes	no	no	31	Olowalu	LLHS	GB	LO	RN	OPB	OPB171207	2033	Papalaua Beach	2017-12-07	8:20	2	3	3	1	2	20	1	0	trades	OPB171207	24.6	35.0	6.67	97.2	8.18	4.39	4.58	4.15				3	0		0	8	0	
	yes	no	no	31	Olowalu	LLHS	GB	LO	RN	OPP	OPP171207	2034	Papalaua Pali	2017-12-07	8:33	2	3	3	1	2	20	1	0	trades	OPP171207	24.3	34.8	6.8	98.8	8.18	2.02	2.12	1.99				3	0		0	2	0	
	yes	no	no	32	Olowalu	LLHS	DR	LO		OPM	OPM171221	2073	Martin Hale	2017-12-21	8:21	1	1	4	2	3	4	6	4	varied direction	OPM171221	23.5	34.7	6.46	92.8	8.03	9.07	10.40	10.40				0	1		0	0	0	
	yes	no	no	32	Olowalu	LLHS	DR	LO		OCO	OCO171221	2028	Camp Olowalu	2017-12-21	8:45	1	1	4	2	3	4	6	4	varied direction	OCO171221	24.1	34.8	5.91	85.9	8.02	2.35	2.23	2.65				0	1		0	0	0	
	yes	no	no	32	Olowalu	LLHS	DR	LO		OMM	OMM171221	2029	Mile Marker 14	2017-12-21	9:04	1	1	4	2	3	4	6	4	varied direction	OMM171221	24.2	34.6	5.87	85.4	8.00	4.36	4.27	4.38				0	0		5	3	0	
	yes	no	no	32	Olowalu	LLHS	DR	LO		OUB	OUB171221	2032	Ukumehame	2017-12-21	9:24	1	1	4	2	3	4	6	4	varied direction	OUB171221	24.2	34.6	6.63	96.5	8.11	3.66	3.56	3.52				1	2	4	0	0	2	OUB stream flowing brown
	yes	no	no	32	Olowalu	LLHS	DR	LO		OPB	OPB171221	2033	Papalaua Beach	2017-12-21	9:43	1	1	4	2	3	4	6	4	varied direction	OPB171221	24.7	34.6	6.63	97.4	8.09	50.00	50.40	49.10				1	1		0	0	0	OPB porta potty maybe leaking
	yes	no	no	32	Olowalu	LLHS	DR	LO		OPP	OPP171221	2034	Papalaua Pali	2017-12-21	9:58	1	1	4	2	3	4	6	4	varied direction	OPP171221	25.0	35.1	6.24	92.3	8.11	13.30	13.10	13.20				2	0	4	0	2	1	OPP stream brown
	yes	no	no	33	Olowalu	LLHS	MG	LO	RN	OPM	OPM180111	2073	Martin Hale	2018-01-11	7:14	2	3	3	1	2	25	1	0	trades	OPM180111	23.1	34.3	5.88	83.4	8.06	2.66	2.53	2.48				0	0		0	0	0	
	yes	no	no	33	Olowalu	LLHS	MG	LO	RN	OCO	OCO180111	2028	Camp Olowalu	2018-01-11	7:34	2	3	3	1	2	25	1	0	trades	OCO180111	24.1	34.6	6.47	93.4	8.10	1.10	0.90	0.83				0	1		9	1	0	
	yes	no	no	33	Olowalu	LLHS	MG	LO	RN	OMM	OMM180111	2029	Mile Marker 14	2018-01-11	7:46	2	3	3	1	2	25	1	0	trades	OMM180111	23.9	34.4	6.29	90.3	8.09	1.14	1.09	1.20				0	1		0	4	1	
	yes	no	no	33	Olowalu	LLHS	MG	LO	RN	OUB	OUB180111	2032	Ukumehame	2018-01-11	8:00	2	3	3	1	2	25	1	0	trades	OUB180111	24.2	34.6	6.65	96	8.14	2.09	2.16	2.10				1	1		0	1	0	
	yes	no	no	33	Olowalu	LLHS	MG	LO	RN	OPB	OPB180111	2033	Papalaua Beach	2018-01-11	8:12	2	3	3	1	2	25	1	0	trades	OPB180111	24.2	34.8	6.85	99.3	8.14	4.19	5.02	3.85				1	0		0	0	0	
	yes	no	no	33	Olowalu	LLHS	MG	LO	RN	OPP	OPP180111	2034	Papalaua Pali	2018-01-11	8:30	2	3	3	1	2	25	1	0	trades	OPP180111	24.4	34.6	6.82	99	8.13	1.53	1.67	1.70				1	0		0	2	0	