Copied to main database by Kim/Bill 	Checked by Dana	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	2017-03-17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity		Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
			Example:		26	R2RS	LLHS	CM	TF	MS	RCB	RCB170821	2020	Canoe Beach	2017-08-21	9:22:00	1	1	4	2	3	1	7	2		RCB170821	27.0	33.1	6.92	104.4	8.18	5.78	5.86	6.03	Calculated	Calculated		1	0		1	20	0	RHL no waves at collection site but waves breaking starting halfway to Lipoa Point, light rain the night before
yes	yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NHP	NHP180222		Haycraft Park	2018-02-22	8:30	2	2	2	2	2	8	8	0	0	NHP180222	24.4	34.7	6.70	97.5	8.14	6.05	6.02	6.09	6.05	0.006		0.5	0		0	9	0	
yes	yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NKP	NKP180222		Kealia Pond	2018-02-22	9:00	2	2	2	2	2	8	8	0	0	NKP180222	24.4	35.7	6.84	100.0	8.18	3.55	3.63	4.06	3.75	0.073		1	1		0	7	0	
yes	yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NSB	NSB180222		Sugar Beach	2018-02-22	9:25	2	2	2	2	2	8	8	0	0	NSB180222	24.6	35.5	6.78	99.3	8.17	6.34	6.34	6.92	6.53	0.051		0.5	1		0	8	0	
yes	yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NKC	NKC180222		Kihei Canoe Club	2018-02-22	9:48	2	2	2	2	2	8	8	0	0	NKC180222	24.8	34.9	6.72	98.5	8.14	3.00	3.69	3.55	3.41	0.107		0.5	0		0	7	0	
yes	yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NMP	NMP180222		Mai Poina Oe Iau	2018-02-22	10:00	2	2	2	2	2	8	8	0	0	NMP180222	24.7	34.3	6.65	97.1	8.14	4.62	4.34	5.12	4.69	0.084		0	0		0	6	0	
yes	yes	yes	no	no	8	North Kihei	NMS	KT	BC	NG	NKN	NKN180222		Kalepolepo North	2018-02-22	10:21	2	2	2	2	2	8	8	0	0	NKN180222	24.7	33.1	6.55	95.02	8.14	14.60	15.9	13.40	14.63	0.085		0.5	1		0	2	0	
yes	yes	yes	no	no	9	North Kihei	NMS	RR	KT	BC	NHP	NHP180308		Haycraft Park	2018-03-08	8:06	1	1	1	1	1	21	7	1	Trades	NHP180308	22.9	34.5	6.79	96.1	8.14	5.56	5.47	5.61	5.55	0.013		0	2		0	0	0	
yes	yes	yes	no	no	9	North Kihei	NMS	RR	KT	BC	NKP	NKP180308		Kealia Pond	2018-03-08	8:30	1	1	1	1	1	21	7	1	Trades	NKP180308	23.0	35.7	6.92	98.5	8.19	0.93	1.37	1.01	1.10	0.212		1	1		0	0	0	
yes	yes	yes	no	no	9	North Kihei	NMS	RR	KT	BC	NSB	NSB180308		Sugar Beach	2018-03-08	8:50	1	1	1	1	1	21	7	1	Trades	NSB180308	23.6	35.3	6.88	98.0	8.17	1.62	1.89	1.73	1.75	0.078		0	0		0	2	0	
yes	yes	yes	no	no	9	North Kihei	NMS	RR	KT	BC	NKC	NKC180308		Kihei Canoe Club	2018-03-08	9:10	1	1	1	1	1	21	7	1	Trades	NKC180308	23.9	35.1	6.72	96.9	8.15	1.57	1.82	1.90	1.76	0.098		0	1		0	3	0	
yes	yes	yes	no	no	9	North Kihei	NMS	RR	KT	BC	NMP	NMP180308		Mai Poina Oe Iau	2018-03-08	9:27	1	1	1	1	1	21	7	1	Trades	NMP180308	23.3	34.0	6.71	95.8	8.13	3.60	4.21	3.75	3.85	0.082		0	1		0	2	0	
yes	yes	yes	no	no	9	North Kihei	NMS	RR	KT	BC	NKN	NKN180308		Kalepolepo North	2018-03-08	9:47	1	1	1	1	1	21	7	1	Trades	NKN180308	23.3	32.1	6.96	97.7	8.16	4.45	5.17	5.85	5.16	0.136		0	2		0	0	1	
yes	yes	yes	no	no	10	North Kihei	NMS	BC	KT	FB	NHP	NHP180322		Haycraft Park	2018-03-22	8:20	2	2	2	2	2	7	6	0	Trades	NHP180322	23.7	34.3	6.86	98.5	8.16	5.63	6.21	5.92	5.92	0.049		1	1		4	2	8	
yes	yes	yes	no	no	10	North Kihei	NMS	BC	KT	FB	NKP	NKP180322		Kealia Pond	2018-03-22	8:43	2	2	2	2	2	7	6	0	Trades	NKP180322	23.9	34.8	6.84	98.9	8.21	4.39	4.2	4.41	4.33	0.027		1	2		0	3	0	
yes	yes	yes	no	no	10	North Kihei	NMS	BC	KT	FB	NSB	NSB180322		Sugar Beach	2018-03-22	9:10	2	2	2	2	2	7	6	0	Trades	NSB180322	24.6	34.7	6.83	100.0	8.2	2.85	3.68	3.33	3.29	0.127		1	1		2	0	0	
yes	yes	yes	no	no	10	North Kihei	NMS	BC	KT	FB	NKC	NKC180322		Kihei Canoe Club	2018-03-22	9:25	2	2	2	2	2	7	6	0	Trades	NKC180322	24.7	34.3	6.80	99.5	8.19	3.95	3.93	4.40	4.09	0.065		1	0		1	20	0	
yes	yes	yes	no	no	10	North Kihei	NMS	BC	KT	FB	NMP	NMP180322		Mai Poina Oe Iau	2018-03-22	9:45	2	2	2	2	2	7	6	0	Trades	NMP180322	24.6	32.9	6.85	99.0	8.16	2.79	3.98	3.24	3.34	0.180		1	3		0	2	0	
yes	yes	yes	no	no	10	North Kihei	NMS	BC	KT	FB	NKN	NKN180322		Kalepolepo North	2018-03-22	10:00	2	2	2	2	2	7	6	0	Trades	NKN180322	24.3	31.4	6.95	99.2	8.2	4.26	4.79	4.31	4.45	0.066		1	3		2	7	0	
yes	yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NHP	NHP180405		Haycraft Park	2018-04-05	8:13	1	1	1	1	1	19	8	4	Kona	NHP180405	25.4	32.7	6.53	95.5	8.04	6.73	5.14	6.09	5.99	0.134		1	6		3	7	0	
yes	yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NKP	NKP180405		Kealia Pond	2018-04-05	8:42	1	1	1	1	1	19	8	4	Kona	NKP180405	25.7	33.9	6.74	99.8	8.14	5.38	6.18	5.72	5.76	0.070		2	5		0	0	0	
yes	yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NSB	NSB180405		Sugar Beach	2018-04-05	9:00	1	1	1	1	1	19	8	4	Kona	NSB180405	26.0	34.3	6.67	99.6	8.14	5.69	5.7	5.87	5.75	0.018		2	4		0	1	0	
yes	yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NKC	NKC180405		Kihei Canoe Club	2018-04-05	9:22	1	1	1	1	1	19	8	4	Kona	NKC180405	26.3	34.0	6.69	100.3	8.15	5.40	5.97	5.77	5.71	0.051		3	4		4	0	0	
yes	yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NMP	NMP180405		Mai Poina Oe Iau	2018-04-05	9:35	1	1	1	1	1	19	8	4	Kona	NMP180405	26.8	32.8	6.61	99.3	8.12	28.50	28.8	27.60	28.30	0.022		2	3		0	9	0	
yes	yes	yes	no	no	11	North Kihei	NMS	RR	NG	FB	NKN	NKN180405		Kalepolepo North	2018-04-05	9:51	1	1	1	1	1	19	8	4	Kona	NKN180405	27.0	32.5	6.32	95.0	8.12	34.80	32.4	32.00	33.07	0.046		2	3		6	2	0	
yes	yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NHP	NHP180419		Haycraft Park	2018-04-19	8:10	2	2	2	2	2	4	7	1	Trades	NHP180419	24.8	34.6	6.76	99.2	8.14	2.26	3.04	2.68	2.66	0.147		1	2		0	1	0	
yes	yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NKP	NKP180419		Kealia Pond	2018-04-19	8:40	2	2	2	2	2	4	7	1	Trades	NKP180419	24.8	35.0	6.74	98.9	8.18	2.82	3.96	2.77	3.18	0.211		1	2		0	1	0	
yes	yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NSB	NSB180419		Sugar Beach	2018-04-19	9:05	2	2	2	2	2	4	7	1	Trades	NSB180419	25.4	34.7	6.65	98.5	8.16	3.62	4.16	3.92	3.90	0.069		1	2		3	14	0	
yes	yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NKC	NKC180419		Kihei Canoe Club	2018-04-19	9:20	2	2	2	2	2	4	7	1	Trades	NKC180419	25.8	34.2	6.68	99.3	8.15	2.37	3.3	2.31	2.66	0.209		1	2		0	8	0	
yes	yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NMP	NMP180419		Mai Poina Oe Iau	2018-04-19	9:40	2	2	2	2	2	4	7	1	Trades	NMP180419	25.5	33.2	6.60	97.2	8.13	3.27	3.05	3.18	3.17	0.035		1	3		0	3	0	
yes	yes	yes	no	no	12	North Kihei	NMS	RR	KT	FB	NKN	NKN180419		Kalepolepo North	2018-04-19	10:00	2	2	2	2	2	4	7	1	Trades	NKN180419	25.6	30.1	6.84	99.1	8.16	10.20	11.7	11.80	11.23	0.080		1	3		0	7	0	
yes	yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NHP	NHP180503		Haycraft Park	2018-05-03	8:20	1	1	1	1	1	18	6	0	Trades	NHP180503	25.7	34.4	6.78	100.6	8.14	7.79	7.93	7.47	7.73	0.031		1	1		3	3	0	HQ40d #1 turned off by itself twice during sampling - loose batteries?
yes	yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NKP	NKP180503		Kealia Pond	2018-05-03	8:55	1	1	1	1	1	18	6	0	Trades	NKP180503	25.6	35.6	6.69	99.6	8.18	1.08	1.15	1.41	1.21	0.143		1	3		0	2	0	
yes	yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NSB	NSB180503		Sugar Beach	2018-05-03	9:20	1	1	1	1	1	18	6	0	Trades	NSB180503	25.8	35.0	6.67	99.5	8.16	4.42	4.48	4.28	4.39	0.023		1	1		3	3	0	
yes	yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NKC	NKC180503		Kihei Canoe Club	2018-05-03	9:33	1	1	1	1	1	18	6	0	Trades	NKC180503	25.9	34.3	6.67	99.2	8.15	1.36	2.16	1.91	1.81	0.226		2	1		5	3	1	
yes	yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NMP	NMP180503		Mai Poina Oe Iau	2018-05-03	9:55	1	1	1	1	1	18	6	0	Trades	NMP180503	26.2	32.3	6.72	99.3	8.11	5.48	6.65	5.87	6.00	0.099		2	2		0	1	0	
yes	yes	yes	no	no	13	North Kihei	NMS	RR	KT	FB	NKN	NKN180503		Kalepolepo North	2018-05-03	10:15	1	1	1	1	1	18	6	0	Trades	NKN180503	26.6	29.9	6.74	99.3	8.18	3.35	3.44	3.43	3.41	0.014		1	3		0	2	0	
yes	yes	yes	no	no	14	North Kihei	NMS	RR	KT		NHP	NHP180517		Haycraft Park	2018-05-17	8:15	2	2	2	2	2	4	7	0	Trades	NHP180517	25.5	34.1	6.69	98.7	8.13	4.92	5.66	5.07	5.22	0.075		1	1		0	6	0	
yes	yes	yes	no	no	14	North Kihei	NMS	RR	KT		NKP	NKP180517		Kealia Pond	2018-05-17	8:45	2	2	2	2	2	4	7	0	Trades	NKP180517	25.7	35.2	6.74	100.0	8.2	2.16	2.05	1.69	1.97	0.125		1	2		0	6	0	
yes	yes	yes	no	no	14	North Kihei	NMS	RR	KT		NSB	NSB180517		Sugar Beach	2018-05-17	9:03	2	2	2	2	2	4	7	0	Trades	NSB180517	26.1	34.7	6.75	101.1	8.17	2.97	4.88	4.13	3.99	0.241		1	1		0	9	0	
yes	yes	yes	no	no	14	North Kihei	NMS	RR	KT		NKC	NKC180517		Kihei Canoe Club	2018-05-17	9:20	2	2	2	2	2	4	7	0	Trades	NKC180517	26.4	34.0	6.71	100.8	8.13	2.67	4.02	3.17	3.29	0.208		1	0		0	5	0	
yes	yes	yes	no	no	14	North Kihei	NMS	RR	KT		NMP	NMP180517		Mai Poina Oe Iau	2018-05-17	9:35	2	2	2	2	2	4	7	0	Trades	NMP180517	26.7	32.0	6.71	100.2	8.1	3.92	4.78	5.00	4.57	0.125		1	0		2	8	0	
yes	yes	yes	no	no	14	North Kihei	NMS	RR	KT		NKN	NKN180517		Kalepolepo North	2018-05-17	9:56	2	2	2	2	2	4	7	0	Trades	NKN180517	26.6	29.5	6.73	98.7	8.2	4.05	4.17	4.34	4.19	0.035		1	0		0	1	0	
yes	yes	yes	no	no	15	North Kihei	NMS	RR	SS	FB	NHP	NHP180531		Haycraft Park	2018-05-31	8:20	1	1	1	1	1	17	1	0	Trades	NHP180531	25.1	35.2	6.73	99.3	8.15	4.91	5.55	5.51	5.32	0.067		3	3		0	3	0	Took field duplicates (Turb, Sal, DO, pH and Temp)
yes	yes	yes	no	no	15	North Kihei	NMS	RR	SS	FB	NKP	NKP180531		Kealia Pond	2018-05-31	8:45	1	1	1	1	1	17	1	0	Trades	NKP180531	25.2	35.7	6.71	99.4	8.15	7.77	6.96	8.12	7.62	0.078		3	3		0	4	0	Took field duplicates (Turb, Sal, DO, pH and Temp)
yes	yes	yes	no	no	15	North Kihei	NMS	RR	SS	FB	NSB	NSB180531		Sugar Beach	2018-05-31	9:08	1	1	1	1	1	17	1	0	Trades	NSB180531	26.3	35.7	6.56	99.0	8.14	4.74	5.75	4.82	5.10	0.110		2	3		2	3	0	Took field duplicates (Turb, Sal, DO, pH and Temp)
yes	yes	yes	no	no	15	North Kihei	NMS	RR	SS	FB	NKC	NKC180531		Kihei Canoe Club	2018-05-31	9:30	1	1	1	1	1	17	1	0	Trades	NKC180531	26.2	35.0	6.55	98.4	8.11	6.25	7.94	8.22	7.47	0.143		3	0		0	0	0	
yes	yes	yes	no	no	15	North Kihei	NMS	RR	SS	FB	NMP	NMP180531		Mai Poina Oe Iau	2018-05-31	9:51	1	1	1	1	1	17	1	0	Trades	NMP180531	26.2	35.1	6.69	100.7	8.14	4.33	4.97	4.12	4.47	0.099		2	1		0	2	0	
yes	yes	yes	no	no	15	North Kihei	NMS	RR	SS	FB	NKN	NKN180531		Kalepolepo North	2018-05-31	10:05	1	1	1	1	1	17	1	0	Trades	NKN180531	26.4	32.8	6.69	99.8	8.15	13.50	14	11.90	13.13	0.084		3	0		0	0	0	
yes	yes	yes	no	no	16	North Kihei	NMS	KT	FB		NHP	NHP180621		Haycraft Park	2018-06-21	8:12	2	2	2	2	2	8	0	0	Trades	NHP180621	26.3	34.7	6.72	101.2	8.15	2.69	2.54	2.23	2.49	0.094		1	0		0	1	0	
yes	yes	yes	no	no	16	North Kihei	NMS	KT	FB		NKP	NKP180621		Kealia Pond	2018-06-21	8:38	2	2	2	2	2	8	0	0	Trades	NKP180621	25.9	35.2	6.72	100.6	8.18	1.16	1.26	1.07	1.16	0.082		1	0		0	2	0	
yes	yes	yes	no	no	16	North Kihei	NMS	KT	FB		NSB	NSB180621		Sugar Beach	2018-06-21	9:00	2	2	2	2	2	8	0	0	Trades	NSB180621	26.9	35.1	6.66	101.5	8.18	4.30	5.05	4.42	4.59	0.088		0	0		1	7	0	
yes	yes	yes	no	no	16	North Kihei	NMS	KT	FB		NKC	NKC180621		Kihei Canoe Club	2018-06-21	9:17	2	2	2	2	2	8	0	0	Trades	NKC180621	26.6	34.7	6.66	100.8	8.16	4.58	4.92	4.75	4.75	0.036		0	0		0	0	0	
yes	yes	yes	no	no	16	North Kihei	NMS	KT	FB		NMP	NMP180621		Mai Poina Oe Iau	2018-06-21	9:32	2	2	2	2	2	8	0	0	Trades	NMP180621	27.2	33.5	6.55	99.4	8.14	2.25	2.01	1.94	2.07	0.079		0	0		3	2	0	
yes	yes	yes	no	no	17	North Kihei	NMS	SS	FB	RR	NHP	NHP180712		Haycraft Park	2018-07-12	8:15	1	1	1	1	1	29	1	0	Trades	NHP180712	25.9	34.3	6.66	99.3	8.13	5.54	5.06	5.18	5.26	0.047		1	3		2	1	20+	6 tents - appears to be a homeless encampment
yes	yes	yes	no	no	17	North Kihei	NMS	SS	FB	RR	NKP	NKP180712		Kealia Pond	2018-07-12	8:40	1	1	1	1	1	29	1	0	Trades	NKP180712	25.8	35.4	6.52	97.4	8.2	1.23	1.25	1.31	1.26	0.033		1	4		0	0	0	
yes	yes	yes	no	no	17	North Kihei	NMS	SS	FB	RR	NSB	NSB180712		Sugar Beach	2018-07-12	8:55	1	1	1	1	1	29	1	0	Trades	NSB180712	26.4	35.1	6.52	98.4	8.19	4.97	4.04	4.70	4.57	0.105		2	3		1	4	0	
yes	yes	yes	no	no	17	North Kihei	NMS	SS	FB	RR	NKC	NKC180712		Kihei Canoe Club	2018-07-12	9:15	1	1	1	1	1	29	1	0	Trades	NKC180712	26.8	34.3	6.47	98.0	8.11	5.23	5.94	4.85	5.34	0.104		1	2		1	3	0	
yes	yes	yes	no	no	17	North Kihei	NMS	SS	FB	RR	NMP	NMP180712		Mai Poina Oe Iau	2018-07-12	9:30	1	1	1	1	1	29	1	0	Trades	NMP180712	26.8	32.1	6.65	99.6	8.13	2.03	2.8	2.64	2.49	0.163		1	4		1	2	0	
yes	yes	yes	no	no	18	North Kihei	NMS	SS	FB	LC	NHP	NHP180802		Haycraft Park	2018-08-02	8:15	2	2	2	2	2	21	1	0	Trades	NHP180802	26.2	34.7	6.47	97.2	8.13	3.62	3.47	3.56	3.55	0.021		2	3		3	2	0	
yes	yes	yes	no	no	18	North Kihei	NMS	SS	FB	LC	NKP	NKP180802		Kealia Pond	2018-08-02	8:45	2	2	2	2	2	21	1	0	Trades	NKP180802	26.7	35.6	6.54	99.6	8.2	1.20	1.22	1.27	1.23	0.029		2	5		0	2	0	
yes	yes	yes	no	no	18	North Kihei	NMS	SS	FB	LC	NSB	NSB180802		Sugar Beach	2018-08-02	9:05	2	2	2	2	2	21	1	0	Trades	NSB180802	27.4	35.4	6.48	99.6	8.18	3.52	3.88	3.40	3.60	0.069		1	2		0	6	0	
yes	yes	yes	no	no	18	North Kihei	NMS	SS	FB	LC	NKC	NKC180802		Kihei Canoe Club	2018-08-02	9:20	2	2	2	2	2	21	1	0	Trades	NKC180802	27.5	35.1	6.45	99.2	8.18	3.45	3.57	3.97	3.66	0.074		2	3		0	20	0	
yes	yes	yes	no	no	18	North Kihei	NMS	SS	FB	LC	NMP	NMP180802		Mai Poina Oe Iau	2018-08-02	9:39	2	2	2	2	2	21	1	0	Trades	NMP180802	27.4	33.2	6.42	97.6	8.13	1.96	2.22	2.21	2.13	0.069		1	2		0	1	0	
yes	yes	yes	no	no	19	North Kihei	NMS				NHP	NHP180823		Haycraft Park	2018-08-23											NHP180823																		Cancelled sampling session due to hurricane Lane
yes	yes	yes	no	no	19	North Kihei	NMS				NKP	NKP180823		Kealia Pond	2018-08-23											NKP180823																		Cancelled sampling session due to hurricane Lane
yes	yes	yes	no	no	19	North Kihei	NMS				NSB	NSB180823		Sugar Beach	2018-08-23											NSB180823																		Cancelled sampling session due to hurricane Lane
yes	yes	yes	no	no	19	North Kihei	NMS				NKC	NKC180823		Kihei Canoe Club	2018-08-23											NKC180823																		Cancelled sampling session due to hurricane Lane
yes	yes	yes	no	no	19	North Kihei	NMS				NMP	NMP180823		Mai Poina Oe Iau	2018-08-23											NMP180823																		Cancelled sampling session due to hurricane Lane
yes	yes	yes	no	no	20	North Kihei	NMS	GB	JS		NHP	NHP180913		Haycraft Park	2018-09-13	8:25	2	2	2	2	2	4	4	3	Trades	NHP180913	26.8	34.8	6.44	98.0	8.17	8.67	8.88	8.69	8.75	0.013		1	2		0	6	0	
yes	yes	yes	no	no	20	North Kihei	NMS	GB	JS		NKP	NKP180913		Kealia Pond	2018-09-13	8:50	2	2	2	2	2	4	4	3	Trades	NKP180913	27.0	35.4	6.44	98.5	8.2	1.33	1.39	1.67	1.46	0.124		1	4		0	1	0	
yes	yes	yes	no	no	20	North Kihei	NMS	GB	JS		NSB	NSB180913		Sugar Beach	2018-09-13	9:20	2	2	2	2	2	4	4	3	Trades	NSB180913	28.0	35.3	6.44	100.4	8.19	2.61	2.03	2.49	2.38	0.129		1	0		0	3	0	NSB - spilled nutrient bottle, resampled with spare bottle & syringe
yes	yes	yes	no	no	20	North Kihei	NMS	GB	JS		NKC	NKC180913		Kihei Canoe Club	2018-09-13	9:50	2	2	2	2	2	4	4	3	Trades	NKC180913	28.1	34.9	6.41	99.9	8.18	2.17	2.36	2.93	2.49	0.159		1	1		0	0	0	
yes	yes	yes	no	no	20	North Kihei	NMS	GB	JS		NMP	NMP180913		Mai Poina Oe Iau	2018-09-13	10:11	2	2	2	2	2	4	4	3	Trades	NMP180913	27.7	34.1	6.46	99.7	8.17	3.05	3.07	3.12	3.08	0.012		1	2		0	0	0	
yes	yes	yes	no	no	21	North Kihei	NMS	FB	RR	GB	NHP	NHP181004		Haycraft Park	2018-10-04	8:20	1	1	1	1	1					NHP181004	27.4	35.0	6.69	103.0	8.15	4.33	4.76	4.32	4.47	0.056					1	4	5	
yes	yes	yes	no	no	21	North Kihei	NMS	FB	RR	GB	NKP	NKP181004		Kealia Pond	2018-10-04	8:46	1	1	1	1	1					NKP181004	27.5	35.3	6.74	104.0	8.17	3.08	3.5	2.93	3.17	0.093				0	0	0	0	
yes	yes	yes	no	no	21	North Kihei	NMS	FB	RR	GB	NSB	NSB181004		Sugar Beach	2018-10-04	9:10	1	1	1	1	1					NSB181004																		beach not sampled due to high surf
yes	yes	yes	no	no	21	North Kihei	NMS	FB	RR	GB	NKC	NKC181004		Kihei Canoe Club	2018-10-04	9:25	1	1	1	1	1					NKC181004																		beach not sampled due to high surf
yes	yes	yes	no	no	21	North Kihei	NMS	FB	RR	GB	NMP	NMP181004		Mai Poina Oe Iau	2018-10-04	9:37	1	1	1	1	1					NMP181004	28.1	35.1	6.58	102.6	8.17	4.91	4.91	5.03	4.95	0.014					3	1	0	
yes	yes	yes	no	no	22	North Kihei	NMS	RR	SS	GB	NHP	NHP181025		Haycraft Park	2018-10-25	8:16	2	2	2	2	2					NHP181025																		not sampled due to high surf  4-6 feet
yes	yes	yes	no	no	22	North Kihei	NMS	RR	SS	GB	NKP	NKP181025		Kealia Pond	2018-10-25	8:30	2	2	2	2	2					NKP181025	27.1	35.2	6.72	103.0	8.19	2.89	2.86	2.73	2.83	0.030				N	0	2	0	
yes	yes	yes	no	no	22	North Kihei	NMS	RR	SS	GB	NSB	NSB181025		Sugar Beach	2018-10-25	8:50	2	2	2	2	2					NSB181025	27.1	35.0	6.62	101.3	8.15	3.64	3.15	3.60	3.46	0.079					3	5	0	
yes	yes	yes	no	no	22	North Kihei	NMS	RR	SS	GB	NKC	NKC181025		Kihei Canoe Club	2018-10-25	9:15	2	2	2	2	2					NKC181025	27.6	34.7	6.68	102.9	8.15	16.40	15.7	16.40	16.17	0.025					0	14	0	
yes	yes	yes	no	no	22	North Kihei	NMS	RR	SS	GB	NMP	NMP181025		Mai Poina Oe Iau	2018-10-25	9:33	2	2	2	2	2					NMP181025	27.8	34.9	6.67	103.3	8.18	1.82	1.89	1.71	1.81	0.050					4	5	0	
yes	yes	yes	no	no	23	North Kihei	NMS	FB	SS	BC	NHP	NHP181115		Haycraft Park	2018-11-15	8:25	1	1	1	1	1					NHP181115	26.5	34.5	6.51	98.0	8.14	2.26	2.35	2.28	2.30	0.021					0	8	1	
yes	yes	yes	no	no	23	North Kihei	NMS	FB	SS	BC	NKP	NKP181115		Kealia Pond	2018-11-15	8:50	1	1	1	1	1					NKP181115	26.4	35.3	6.65	100.5	8.18	1.11	0.92	0.93	0.99	0.108				N	0	0	0	
yes	yes	yes	no	no	23	North Kihei	NMS	FB	SS	BC	NSB	NSB181115		Sugar Beach	2018-11-15	9:10	1	1	1	1	1					NSB181115	26.7	35.2	6.68	101.4	8.17	2.12	2.13	1.95	2.07	0.049					2	8	0	
