,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,,,,,,,,,,
,,Date Samples Received:,,9/6/23,FR1,,,,,,
,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
RCB230829-N-1,1,202.81,14.01,9.62,664.25,50.29,6.32,,,,
RWA230829-N-1,2,124.11,13.34,11.93,888.10,20.52,2.32,,,,
OCO230829-N-1,3,101.62,5.64,5.54,493.71,4.31,3.69,,,,
OMM230829-N-1,4,107.04,5.72,5.00,368.55,3.64,3.66,,,,
PFF230830-N-1,5,116.85,6.86,5.45,201.07,2.83,2.49,,,,
PLH230830-N-1,6,185.42,11.10,6.72,439.70,4.60,6.05,,,,
PLT230830-N-1,7,141.06,9.84,8.44,325.84,4.49,4.46,,,,
LMT230830-N-1,8,133.32,7.50,4.91,215.86,9.76,3.20,,,,
LMR230830-N-1,9,115.46,10.96,9.85,4252.62,2.15,3.56,,,,
LPS230830-N-1,10,134.70,7.87,5.68,326.61,4.36,7.01,,,,
LLH230830-N-1,11,112.78,9.54,7.13,289.39,9.67,3.28,,,,