OrganizationIdentifier	OrganizationFormalName	MonitoringLocationIdentifier	MonitoringLocationName	MonitoringLocationTypeName	MonitoringLocationDescriptionText	HUCEightDigitCode	DrainageAreaMeasure/MeasureValue	DrainageAreaMeasure/MeasureUnitCode	ContributingDrainageAreaMeasure/MeasureValue	ContributingDrainageAreaMeasure/MeasureUnitCode	LatitudeMeasure	LongitudeMeasure	SourceMapScaleNumeric	HorizontalAccuracyMeasure/MeasureValue	HorizontalAccuracyMeasure/MeasureUnitCode	HorizontalCollectionMethodName	HorizontalCoordinateReferenceSystemDatumName	VerticalMeasure/MeasureValue	VerticalMeasure/MeasureUnitCode	VerticalAccuracyMeasure/MeasureValue	VerticalAccuracyMeasure/MeasureUnitCode	VerticalCollectionMethodName	VerticalCoordinateReferenceSystemDatumName	CountryCode	StateCode	CountyCode	AquiferName	FormationTypeText	AquiferTypeName	ConstructionDateText	WellDepthMeasure/MeasureValue	WellDepthMeasure/MeasureUnitCode	WellHoleDepthMeasure/MeasureValue	WellHoleDepthMeasure/MeasureUnitCode	ProviderName
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-HBP	Hana Beach Park	Ocean		20020000					20.7557500000	-155.9846670000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-HHH	Helene Hall	Ocean		20020000					20.7554720000	-155.9832220000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-HHP	Hana Pier	Ocean		20020000					20.7560830000	-155.9821670000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-HMB	Mid Bay 2	Ocean		20020000					20.7598060000	-155.9866110000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-HWB	Waikoloa Beach	Ocean		20020000					20.7613060000	-155.9858890000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-KCP	Cove Park	Ocean		20020000					20.7274340000	-156.4500770000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-KKO	Kamaole Beach I	Ocean		20020000					20.7219850000	-156.4481830000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-KKP	Kalama Park	Ocean		20020000					20.7309730000	-156.4537200000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-KKS	Kihei South (Lipoa)	Ocean		20020000					20.7473340000	-156.4578810000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-KKT	Kamaole Beach III	Ocean		20020000					20.7129080000	-156.4465960000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-KWP	Waipuilani Park	Ocean		20020000					20.7550560000	-156.4596020000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MAN	Ahihi North	Ocean		20020000					20.6183660000	-156.4375720000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MAS	Ahihi South	Ocean		20020000					20.6138000000	-156.4368530000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MBS	Makena Beach Shoreline	Ocean		20020000					20.6306100000	-156.4461830000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MMB	Maluaka Beach	Ocean		20020000					20.6455980000	-156.4438590000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MML	Makena Landing	Ocean		20020000					20.6539130000	-156.4411740000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-MON	Oneuli	Ocean		20020000					20.6398660000	-156.4474060000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NHP	Haycraft Park	Ocean		20020000					20.7964140000	-156.5031980000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NKC	Kihei Canoe Club	Ocean		20020000					20.7814030000	-156.4631760000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NKN	Kalepolepo North	Ocean		20020000					20.7651320000	-156.4593440000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NKP	Kealia Pond	Ocean		20020000					20.7949360000	-156.4855870000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NMC	Maalaea Condos	Ocean		20020000					20.7949170000	-156.5067350000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NMH	Maalaea Harbor	Ocean		20020000					20.7903050000	-156.5108250000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NMP	Mai Poina 'Oe Ia'u	Ocean		20020000					20.7748940000	-156.4607760000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-NSB	Sugar Beach	Ocean		20020000					20.7842040000	-156.4664630000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OCO	Camp Olowalu	Ocean		20020000					20.8098600000	-156.6136900000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OLP	Launiupoko	Ocean		20020000					20.8423600000	-156.6530350000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OMM	Mile Marker 14	Ocean		20020000					20.8091500000	-156.6066100000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPB	Papalaua	Ocean		20020000					20.7938090000	-156.5752110000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPM	Peter Martin Hale	Ocean		20020000					20.8084440000	-156.6196970000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OPP	Papalaua Pali	Ocean		20020000					20.7927470000	-156.5673260000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OSF	Olowalu Shore Front	Ocean		20020000					20.8091600000	-156.6228900000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-OUB	Ukumehame Beach	Ocean		20020000					20.7944800000	-156.5814200000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PFF	505 Front Street	Ocean		20020000					20.8673200000	-156.6760500000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLH	Lindsey Hale	Ocean		20020000					20.8648500000	-156.6737400000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PLT	Lahaina Town	Ocean		20020000					20.8635600000	-156.6729700000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-PPU	Makila Point	Ocean		20020000					20.8592330000	-156.6694420000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RAB	Airport Beach	Ocean		20020000					20.9366690000	-156.6927800000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RCB	Canoe Beach	Ocean		20020000					20.9103470000	-156.6893820000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RFN	DT Beach (Fleming N)	Ocean		20020000					21.0050000000	-156.6508400000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RFS	Kapalua Bay (Fleming S)	Ocean		20020000					20.9989240000	-156.6667460000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RHL	Honolua	Ocean		20020000					21.0130580000	-156.6383400000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RKO	Ka'opala	Ocean		20020000					20.9820740000	-156.6733980000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RKS	Kaanapali Shores	Ocean		20020000					20.9493310000	-156.6911240000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RKT	Kahekili Two	Ocean		20020000					20.9412690000	-156.6924390000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RKV	Kahana Village	Ocean		20020000					20.9765610000	-156.6780000000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RMO	Mokuleia	Ocean		20020000					21.0113520000	-156.6422700000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RNS	Napili	Ocean		20020000					20.9942220000	-156.6674170000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RON	Oneloa	Ocean		20020000					21.0040560000	-156.6589400000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RPO	Pohaku	BEACH Program Site-Ocean		20020000					20.9670830000	-156.6813900000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-RWA	Wahikuli	Ocean		20020000					20.9044760000	-156.6859310000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WKB	Keawekapu Beach	Ocean		20020000					20.6959390000	-156.4446320000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WKD	Kilohana Dr	Ocean		20020000					20.7022140000	-156.4459210000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WPL	Palauea	Ocean		20020000					20.6695650000	-156.4429070000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WPO	Poolenalena (Chang's Beach)	Ocean		20020000					20.6633900000	-156.4419680000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WUL	Ulua Beach	Ocean		20020000					20.6911200000	-156.4442010000				GPS-Unspecified	WGS84							US	15	009									STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu(Volunteer)*	HUIWAIOLA_WQX-WWA	Wailea Beach	Ocean		20020000					20.6815600000	-156.4435240000				GPS-Unspecified	WGS84							US	15	009									STORET