OrganizationIdentifier	OrganizationFormalName	ActivityIdentifier	MonitoringLocationIdentifier	ResultIdentifier	CharacteristicName	DetectionQuantitationLimitTypeName	DetectionQuantitationLimitMeasure/MeasureValue	DetectionQuantitationLimitMeasure/MeasureUnitCode	ProviderName
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RWA170103NH4	HUIWAIOLA_WQX-RWA	STORET-644392487	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPM161201NH4	HUIWAIOLA_WQX-OPM	STORET-644392103	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPP161117NH4	HUIWAIOLA_WQX-OPP	STORET-644391904	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPB161117NH4	HUIWAIOLA_WQX-OPB	STORET-644391903	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RAB161115NH4	HUIWAIOLA_WQX-RAB	STORET-644391890	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RAB161213NH4	HUIWAIOLA_WQX-RAB	STORET-644392298	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPP161201NH4	HUIWAIOLA_WQX-OPP	STORET-644392108	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PPU161116NH4	HUIWAIOLA_WQX-PPU	STORET-644391896	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OCO170105NH4	HUIWAIOLA_WQX-OCO	STORET-644392495	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RWA160614NH4	HUIWAIOLA_WQX-RWA	STORET-644389759	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OLP161116NH4	HUIWAIOLA_WQX-OLP	STORET-644391898	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OLP160810NH4	HUIWAIOLA_WQX-OLP	STORET-644390518	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RWA161129NH4	HUIWAIOLA_WQX-RWA	STORET-644392096	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PFF161116NH4	HUIWAIOLA_WQX-PFF	STORET-644391893	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PFF160713NH4	HUIWAIOLA_WQX-PFF	STORET-644390130	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPB160811NH4	HUIWAIOLA_WQX-OPB	STORET-644390522	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPM170105NH4	HUIWAIOLA_WQX-OPM	STORET-644392494	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPM161117NH4	HUIWAIOLA_WQX-OPM	STORET-644391899	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OMM161117NH4	HUIWAIOLA_WQX-OMM	STORET-644391901	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PFF160810NH4	HUIWAIOLA_WQX-PFF	STORET-644390514	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPM160908NH4	HUIWAIOLA_WQX-OPM	STORET-644390893	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OCO160714NH4	HUIWAIOLA_WQX-OCO	STORET-644390136	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OLP170104NH4	HUIWAIOLA_WQX-OLP	STORET-644392493	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OUB170105NH4	HUIWAIOLA_WQX-OUB	STORET-644392497	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RWA160906NH4	HUIWAIOLA_WQX-RWA	STORET-644390887	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RWA160712NH4	HUIWAIOLA_WQX-RWA	STORET-644390129	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OPP160811NH4	HUIWAIOLA_WQX-OPP	STORET-644390523	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-OUB161117NH4	HUIWAIOLA_WQX-OUB	STORET-644391902	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RAB160906NH4	HUIWAIOLA_WQX-RAB	STORET-644390885	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-RWA161115NH4	HUIWAIOLA_WQX-RWA	STORET-644391892	Ammonia-nitrogen	Method Detection Level	1.5	ug/l	STORET
HUIWAIOLA_WQX	The Nature Conservancy - Honolulu	HUIWAIOLA_WQX-PPU161019NNN	HUIWAIOLA_WQX-PPU	STORET-644391471	Nitrate	Method Detection Level	.1	ug/l	STORET